action_offset_hex	role_offset_hex	access_width_bytes	provisional_semantic_name	status	act_command_producers	command_effect_count	reset_or_persistence_rule	updater_read_instruction_addresses	updater_write_instruction_addresses	updater_read_write_instruction_addresses	initializer_write_instruction_addresses	proven_external_read_instruction_addresses	proven_external_write_instruction_addresses	proven_external_read_write_instruction_addresses	proven_external_access_count
68	00A8	2	bc_parameter_1	command-producer-confirmed	4342	1	cleared on action/base/delta key change		00432270,0043231E,004323C6,004325C0						0
70	00B0	2	rc_parameter_2_or_lc_zero	command-producer-confirmed	434C,4352	2	not cleared on lookup-key change		00432618,00432621						0
72	00B2	2	gc_parameter_2_or_lc_zero	command-producer-confirmed	4347,434C	2	not cleared on lookup-key change		00432625,00432655						0
74	00B4	2	bc_parameter_2_or_lc_zero	command-producer-confirmed	4342,434C	2	not cleared on lookup-key change		004325C8,00432629						0
76	00B6	2	xa_parameter	command-producer-confirmed	4158	1	cleared on action/base/delta key change		00432245,004322F6,0043239E,00432581			0047F9AA,0047FA16,0047FA5C,00483219,0048327C,004832E8,00483950,004839A8,00483A0B,00483A64,00483E28,00483E61,00483EB3,00484274,004842C7,00484325			16
78	00B8	2	ya_parameter	command-producer-confirmed	4159	1	cleared on action/base/delta key change		00432249,004322FA,004323A2,00432598			0047FAB5,0047FAF2,00483A6A,00483A9F,00483EBA,00483EF2			6
7A	00BA	2	lf_parameter_1	command-producer-confirmed	464C	1	cleared on action/base/delta key change		00432274,00432322,004323CA,00432671						0
7C	00BC	2	lf_parameter_2	command-producer-confirmed	464C	1	cleared on action/base/delta key change		00432278,00432326,004323CE,0043267A						0
7E	00BE	2	lf_parameter_3	command-producer-confirmed	464C	1	cleared on action/base/delta key change		0043227C,0043232A,004323D2,00432683						0
80	00C0	2	lf_parameter_4	command-producer-confirmed	464C	1	cleared on action/base/delta key change		00432280,0043232E,004323D6,0043268C						0
82	00C2	2	lf_parameter_5	command-producer-confirmed	464C	1	cleared on action/base/delta key change		00432287,00432335,004323DD,00432698						0
84	00C4	2	lf_parameter_6	command-producer-confirmed	464C	1	cleared on action/base/delta key change		0043228E,0043233C,004323E4,004326A4						0
86	00C6	2	lf_parameter_7	command-producer-confirmed	464C	1	cleared on action/base/delta key change		00432295,00432343,004323EB,004326B0						0
88	00C8	1	wt_low_byte_value	command-producer-confirmed	5457	1	cleared on action/base/delta key change		00432258,00432306,004323AE,00432906			0045147E			1
89	00C9	1	reset_only_unknown_byte	external-producer-pending		0	cleared on action/base/delta key change		0043225E,0043230C,004323B4						0
8A	00CA	1	sg_low_byte_value	command-producer-confirmed	4753	1	cleared on action/base/delta key change		00432252,00432300,004323A8,0043272B			0040EC3A,0040ED0A,00483533,00483D35			4
8C	00CC	4	command_2o_latched_state	condition-confirmed-business-name-pending	4F32	1	cleared on action/base/delta key change		0043229C,0043234A,004323F2,004329FA			004515D0,004836D3,00483B12,00483C56,00483FA7			5
90	00D0	4	external_stream_control_mode	battle-producer-confirmed		0	battle render paths write 0/1 immediately before update; updater key changes clear it	004321EE,004329B4,004329C8	004322A2,00432350,004323F8		0040DC22		0047F960,0047F976,004838E4,004838FC,00483DC4,00483DDC		6
94	00D4	4	ms_latched_state	condition-confirmed-business-name-pending	534D	1	cleared on action/base/delta key change		004322A8,00432356,004323FE,004328B8						0
