archive	group_index	record_ordinal	lookup_action_id	stored_action_id	name_bytes_hex	name_text_best_effort	index_record_offset_hex	block_offset_hex	block_size_bytes	variant_slots	nonempty_variants	reserved_0_hex	reserved_1_hex	reserved_2_hex
all_char.act	0	51	51	51	303531BD7EA6CFA7AFBEF7000000000000000000	051羯羊妖機	000008B4	0007DBCE	816	69	6	00000000	00000000	00000000
all_char.act	0	52	52	52	303532A95DA465AEA9BD74000000000000000000	052夜叉悟緣	000008E0	00078B3E	1030	69	5	00000000	00000000	00000000
all_char.act	0	53	53	53	303533AB42A4A6A46CA4ADB0AD00000000000000	053雨丹子五鬼	0000090C	0007D85C	882	69	8	00000000	00000000	00000000
all_char.act	0	54	54	0	0000000000000000000000000000000000000000		00000938	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	55	55	0	0000000000000000000000000000000000000000		00000964	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	56	56	56	303536B5E1A44FB4B50000000000000000000000	056菲力斯	00000990	00029DA4	818	16	16	00000000	00000000	00000000
all_char.act	0	57	57	57	303537BEF7C3F6A94DA97C000000000000000000	057機關和尚	000009BC	000677D6	2034	69	34	00000000	00000000	00000000
all_char.act	0	58	58	58	303538A541A5ADA454A540000000000000000000	058丕平三世	000009E8	0002A752	1052	53	20	00000000	00000000	00000000
all_char.act	0	59	59	59	303539A4FBC55DA4FD0000000000000000000000	059牛魔王	00000A14	00098344	1100	69	6	00000000	00000000	00000000
all_char.act	0	60	60	60	303630A642C55DC1A8B946000000000000000000	060冰魔薇達	00000A40	0006B98E	566	69	4	00000000	00000000	00000000
all_char.act	0	61	61	61	303631BEF7C3F6A454C55DC37E28A56229000000	061機關三魔獸(半)	00000A6C	0007697A	604	69	4	00000000	00000000	00000000
all_char.act	0	62	62	62	303632C2C5C55DAFAB28B16A2900000000000000	062藍魔神(強)	00000A98	0003B9AA	3090	69	37	00000000	00000000	00000000
all_char.act	0	63	63	63	303633BCBBA5B9B3C1BAB8B4B500000000000000	063撒旦麥爾斯	00000AC4	00043228	306	37	1	00000000	00000000	00000000
all_char.act	0	64	64	0	0000000000000000000000000000000000000000		00000AF0	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	65	65	65	303635BC76A7D4A7AFBEF7000000000000000000	065影忍妖機	00000B1C	00054DD6	990	69	5	00000000	00000000	00000000
all_char.act	0	66	66	66	303636A7F5A5D500000000000000000000000000	066李白	00000B48	000687BA	1450	28	28	00000000	00000000	00000000
all_char.act	0	67	67	67	303637B164A8BAA8BDA468320000000000000000	067康那里士2	00000B74	0005E378	2596	69	36	00000000	00000000	00000000
all_char.act	0	68	68	68	303638BCBBA5B9B3C1BAB8B4B500000000000000	068撒旦麥爾斯	00000BA0	000610A2	5072	74	64	00000000	00000000	00000000
all_char.act	0	69	69	69	303639BCBBA5B9B3C1BAB8B4B500000000000000	069撒旦麥爾斯	00000BCC	000921E8	546	45	2	00000000	00000000	00000000
all_char.act	0	70	70	0	0000000000000000000000000000000000000000		00000BF8	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	71	71	71	303731A4ECC54BA4480000000000000000000000	071木鐵人	00000C24	00067FC8	2034	69	34	00000000	00000000	00000000
all_char.act	0	72	72	72	303732B164A8BAA8BDA468330000000000000000	072康那里士3	00000C50	000858AE	2596	69	36	00000000	00000000	00000000
all_char.act	0	73	73	73	303733BCBBA5B9B3C1BAB8B4B500000000000000	073撒旦麥爾斯	00000C7C	00087710	5072	74	64	00000000	00000000	00000000
all_char.act	0	74	74	74	303734BCBBA5B900000000000000000000000000	074撒旦	00000CA8	00088AE0	2162	69	10	00000000	00000000	00000000
all_char.act	0	75	75	75	303735BCBBA5B9C1C9AF53000000000000000000	075撒旦賽特	00000CD4	0008E738	1842	80	18	00000000	00000000	00000000
all_char.act	0	76	76	76	303736BD7EA7D4A4DBBEF7000000000000000000	076羯忍幻機	00000D00	0008F974	864	69	6	00000000	00000000	00000000
all_char.act	0	77	77	0	0000000000000000000000000000000000000000		00000D2C	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	78	78	0	0000000000000000000000000000000000000000		00000D58	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	79	79	0	0000000000000000000000000000000000000000		00000D84	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	80	80	0	0000000000000000000000000000000000000000		00000DB0	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	81	81	0	0000000000000000000000000000000000000000		00000DDC	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	82	82	0	0000000000000000000000000000000000000000		00000E08	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	83	83	0	0000000000000000000000000000000000000000		00000E34	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	84	84	0	0000000000000000000000000000000000000000		00000E60	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	85	85	0	0000000000000000000000000000000000000000		00000E8C	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	86	86	0	0000000000000000000000000000000000000000		00000EB8	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	87	87	0	0000000000000000000000000000000000000000		00000EE4	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	88	88	0	0000000000000000000000000000000000000000		00000F10	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	89	89	0	0000000000000000000000000000000000000000		00000F3C	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	90	90	90	3039302DC1A8B94628BB58ADB1AAA92900000000	090-薇達(蒙面版)	00000F68	000594C6	3064	73	49	00000000	00000000	00000000
all_char.act	0	91	91	91	303931C1C9AF5328ABD5C646AAA9290000000000	091賽特(幽靈版)	00000F94	00089352	5214	80	64	00000000	00000000	00000000
all_char.act	0	92	92	92	303932C1C9AF5328A4A4AA46AAA9290000000000	092賽特(中東版)	00000FC0	000973A2	2168	71	37	00000000	00000000	00000000
all_char.act	0	93	93	93	303933BC7AABDBAABAABD5C64600000000000000	093慧彥的幽靈	00000FEC	00052732	2992	72	40	00000000	00000000	00000000
all_char.act	0	94	94	94	303934C1C9AF53C34DC064BE6D00000000000000	094賽特騎駱駝	00001018	000458F0	2260	59	34	00000000	00000000	00000000
all_char.act	0	95	95	95	303935C34DC064BE6D28A46AA661B9CF29000000	095騎駱駝(大地圖)	00001044	0004154E	2218	63	33	00000000	00000000	00000000
all_char.act	0	96	96	96	303936C1C9AF5328A46AA661B9CFAAA929000000	096賽特(大地圖版)	00001070	0003546C	2154	61	33	00000000	00000000	00000000
all_char.act	0	97	97	97	303937C1C9AF5328B2C4A447AAA9290000000000	097賽特(第二版)	0000109C	000253AC	3370	64	40	00000000	00000000	00000000
all_char.act	0	98	98	98	303938B0AAC366AAA9A544A8A400000000000000	098高廬版主角	000010C8	0008A7B0	4260	80	68	00000000	00000000	00000000
all_char.act	0	99	99	99	303939A544A8A4C34DB0A8000000000000000000	099主角騎馬	000010F4	00024BAE	2046	60	33	00000000	00000000	00000000
all_char.act	0	100	100	0	0000000000000000000000000000000000000000		00001120	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	101	101	101	313031C248A9C700000000000000000000000000	101黏怪	0000114C	0002C2AA	556	69	4	00000000	00000000	00000000
all_char.act	0	102	102	102	313032B344000000000000000000000000000000	102蛇	00001178	0008EE6A	546	69	4	00000000	00000000	00000000
all_char.act	0	103	103	103	313033B7E0A46C00000000000000000000000000	103獅子	000011A4	0003CE26	656	69	5	00000000	00000000	00000000
all_char.act	0	104	104	104	313034A6D1AAEA00000000000000000000000000	104老虎	000011D0	0003D0B6	584	69	4	00000000	00000000	00000000
all_char.act	0	105	105	105	313035ABD7ABD7B3BE0000000000000000000000	105度度鳥	000011FC	00068D64	584	69	4	00000000	00000000	00000000
all_char.act	0	106	106	106	313036B3A5B55500000000000000000000000000	106野猴	00001228	00035CD6	592	69	4	00000000	00000000	00000000
all_char.act	0	107	107	107	313037B6C2AAF7ADE80000000000000000000000	107黑金剛	00001254	00035F26	554	69	4	00000000	00000000	00000000
all_char.act	0	108	108	108	313038BAB5000000000000000000000000000000	108熊	00001280	00036150	540	69	4	00000000	00000000	00000000
all_char.act	0	109	109	109	313039A46ABDBFBDBB0000000000000000000000	109大蝙蝠	000012AC	0003636C	556	69	4	00000000	00000000	00000000
all_char.act	0	110	110	110	313130AC72C3C8A46C0000000000000000000000	110毒蠍子	000012D8	00036598	558	69	4	00000000	00000000	00000000
all_char.act	0	111	111	111	313131AC72BB6AB5EF0000000000000000000000	111毒蜘蛛	00001304	000367C6	470	69	3	00000000	00000000	00000000
all_char.act	0	112	112	112	313132C1F4A8EBC2CE0000000000000000000000	112隱刺蟲	00001330	0003699C	580	69	4	00000000	00000000	00000000
all_char.act	0	113	113	113	313133A5A8B8BF00000000000000000000000000	113巨蛾	0000135C	00036BE0	460	69	3	00000000	00000000	00000000
all_char.act	0	114	114	114	313134AC72C3CA00000000000000000000000000	114毒蟾	00001388	00036DAC	572	69	4	00000000	00000000	00000000
all_char.act	0	115	115	115	313135C3CADFEF00000000000000000000000000	115蟾蜍	000013B4	00036FE8	566	69	4	00000000	00000000	00000000
all_char.act	0	116	116	116	313136A4F4B34400000000000000000000000000	116水蛇	000013E0	0003721E	510	69	4	00000000	00000000	00000000
all_char.act	0	117	117	117	313137AF54000000000000000000000000000000	117狼	0000140C	0003741C	460	69	3	00000000	00000000	00000000
all_char.act	0	118	118	118	313138BBF8ABCD00000000000000000000000000	118僵屍	00001438	0002C4D6	460	69	3	00000000	00000000	00000000
all_char.act	0	119	119	119	313139C64E000000000000000000000000000000	119鷹	00001464	000456DE	530	69	3	00000000	00000000	00000000
all_char.act	0	120	120	120	313230B8BCB04700000000000000000000000000	120蜈蚣	00001490	000375E8	578	69	4	00000000	00000000	00000000
all_char.act	0	121	121	121	313231B6C2B8BCB0470000000000000000000000	121黑蜈蚣	000014BC	0003782A	586	69	4	00000000	00000000	00000000
all_char.act	0	122	122	122	313232ACF5A6D5BDBFBDBB000000000000000000	122紅耳蝙蝠	000014E8	00037A74	556	69	4	00000000	00000000	00000000
all_char.act	0	123	123	123	313233A55FBCDAAF540000000000000000000000	123北歐狼	00001514	00037CA0	610	69	4	00000000	00000000	00000000
all_char.act	0	124	124	124	313234AAA2C646A46C0000000000000000000000	124炎靈子	00001540	00090A72	704	69	5	00000000	00000000	00000000
all_char.act	0	125	125	125	313235A76CA6E5B0ADA4FD000000000000000000	125吸血鬼王	0000156C	0002ACD8	640	69	5	00000000	00000000	00000000
all_char.act	0	126	126	126	313236A8B8C64600000000000000000000000000	126邪靈	00001598	00037F02	424	69	3	00000000	00000000	00000000
all_char.act	0	127	127	127	313237A5DBB0A9B3BD0000000000000000000000	127石骨魚	000015C4	0002AF58	442	69	3	00000000	00000000	00000000
all_char.act	0	128	128	128	313238A5DBB0A9ADB8B3BD000000000000000000	128石骨飛魚	000015F0	0002C6A2	436	69	3	00000000	00000000	00000000
all_char.act	0	129	129	129	313239AAFCA55BA7C6BCDA000000000000000000	129阿加希歐	0000161C	0002B112	560	69	4	00000000	00000000	00000000
all_char.act	0	130	130	130	313330E6A1000000000000000000000000000000	130獢	00001648	0002CD6C	1060	69	6	00000000	00000000	00000000
all_char.act	0	131	131	131	313331A76CA6E5B0AD0000000000000000000000	131吸血鬼	00001674	0002B342	548	69	4	00000000	00000000	00000000
all_char.act	0	132	132	132	313332A8DCBEA700000000000000000000000000	132侏儒	000016A0	0002E122	588	69	4	00000000	00000000	00000000
all_char.act	0	133	133	133	313333A8C8AEE6B7E7B4B5000000000000000000	133亞格瑞斯	000016CC	00071054	456	69	3	00000000	00000000	00000000
all_char.act	0	134	134	134	313334A562A448B0A80000000000000000000000	134半人馬	000016F8	0002E680	664	69	5	00000000	00000000	00000000
all_char.act	0	135	135	135	313335ACFCA7F9B2EF0000000000000000000000	135美杜莎	00001724	0002B566	704	69	5	00000000	00000000	00000000
all_char.act	0	136	136	136	313336AEE6B5DCA6E30000000000000000000000	136格萊艾	00001750	0002B826	664	69	5	00000000	00000000	00000000
all_char.act	0	137	137	137	313337B3CDA8A9C3B9B4B5000000000000000000	137凱貝羅斯	0000177C	0002BABE	644	69	5	00000000	00000000	00000000
all_char.act	0	138	138	138	313338B448B5EC00000000000000000000000000	138寒蛙	000017A8	00069572	674	69	6	00000000	00000000	00000000
all_char.act	0	139	139	139	313339B27EA46B00000000000000000000000000	139瓶女	000017D4	0007121C	620	69	5	00000000	00000000	00000000
all_char.act	0	140	140	140	313430A7AFBFDF00000000000000000000000000	140妖貓	00001800	0004B62E	778	69	7	00000000	00000000	00000000
all_char.act	0	141	141	141	313431A4FBC059B3BD0000000000000000000000	141牛頭魚	0000182C	0002F3B2	672	69	5	00000000	00000000	00000000
all_char.act	0	142	142	142	313432B3B7B279A9C70000000000000000000000	142雪球怪	00001858	0006E360	650	69	6	00000000	00000000	00000000
all_char.act	0	143	143	143	313433B7C5B8A6A9670000000000000000000000	143溫蒂妮	00001884	0006E5EA	1510	69	8	00000000	00000000	00000000
all_char.act	0	144	144	144	313434A6CBA7AF00000000000000000000000000	144竹妖	000018B0	0006EBD0	616	69	5	00000000	00000000	00000000
all_char.act	0	145	145	145	313435C353C35200000000000000000000000000	145魍魎	000018DC	0009708E	788	69	5	00000000	00000000	00000000
all_char.act	0	146	146	146	313436A7AFB0ADAAFBC1B3000000000000000000	146妖鬼陀螺	00001908	0006EE38	864	69	4	00000000	00000000	00000000
all_char.act	0	147	147	147	313437A4F4A55000000000000000000000000000	147水仙	00001934	0006F198	660	69	5	00000000	00000000	00000000
all_char.act	0	148	148	148	313438A443A550A46B0000000000000000000000	148七仙女	00001960	000845CE	568	69	4	00000000	00000000	00000000
all_char.act	0	149	149	149	313439A445A4D1A5C8A46B000000000000000000	149九天玄女	0000198C	0008D810	568	69	4	00000000	00000000	00000000
all_char.act	0	150	150	150	313530B9DFAE5A00000000000000000000000000	150嫦娥	000019B8	0006F42C	560	69	4	00000000	00000000	00000000
all_char.act	0	151	151	151	313531C3A3C1F700000000000000000000000000	151瓊霜	000019E4	0006F65C	576	69	4	00000000	00000000	00000000
all_char.act	0	152	152	152	313532BABFAF53A46BAFAB000000000000000000	152瑪特女神	00001A10	0008FCD4	792	69	5	00000000	00000000	00000000
all_char.act	0	153	153	153	313533A5CBB3B600000000000000000000000000	153瓦雀	00001A3C	0006FF3C	572	69	4	00000000	00000000	00000000
all_char.act	0	154	154	154	313534A457A4B8A4D2A448000000000000000000	154上元夫人	00001A68	00070178	756	69	6	00000000	00000000	00000000
all_char.act	0	155	155	155	313535C5FAA46B00000000000000000000000000	155蠶女	00001A94	0007A7E0	820	69	6	00000000	00000000	00000000
all_char.act	0	156	156	156	313536A46BA66900000000000000000000000000	156女夷	00001AC0	00084806	660	69	4	00000000	00000000	00000000
all_char.act	0	157	157	0	0000000000000000000000000000000000000000		00001AEC	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	158	158	158	313538AE5AACD300000000000000000000000000	158娥皇	00001B18	00084C98	510	69	4	00000000	00000000	00000000
all_char.act	0	159	159	159	313539A46BAD5E00000000000000000000000000	159女英	00001B44	00084A9A	510	69	4	00000000	00000000	00000000
all_char.act	0	160	160	160	313630AE75AE5200000000000000000000000000	160席娜	00001B70	00057AB2	720	69	6	00000000	00000000	00000000
all_char.act	0	161	161	161	313631A8C8A95A00000000000000000000000000	161亞坦	00001B9C	000463A4	1176	69	4	00000000	00000000	00000000
all_char.act	0	162	162	162	313632BDBBA7AF00000000000000000000000000	162蝠妖	00001BC8	0004335A	508	69	4	00000000	00000000	00000000
all_char.act	0	163	163	163	313633A6B6B5F0C37E0000000000000000000000	163朱蛤獸	00001BF4	00043556	668	69	5	00000000	00000000	00000000
all_char.act	0	164	164	164	313634AFABBF4FA5A8A448000000000000000000	164神燈巨人	00001C20	0007046C	676	69	4	00000000	00000000	00000000
all_char.act	0	165	165	165	313635A6E2AF50AAE20000000000000000000000	165色烈芬	00001C4C	00090270	608	69	5	00000000	00000000	00000000
all_char.act	0	166	166	166	313636C2C5A44800000000000000000000000000	166藍人	00001C78	00042164	1536	69	22	00000000	00000000	00000000
all_char.act	0	167	167	167	313637BED4A6BAABCDB0AD000000000000000000	167戰死屍鬼	00001CA4	0007B87A	912	69	4	00000000	00000000	00000000
all_char.act	0	168	168	168	313638C673B3BD00000000000000000000000000	168鱷魚	00001CD0	00097C1A	858	69	5	00000000	00000000	00000000
all_char.act	0	169	169	169	313639A46AC663BB680000000000000000000000	169大鬣蜥	00001CFC	00081798	514	69	4	00000000	00000000	00000000
all_char.act	0	170	170	170	313730A76CA6E5ED4CABCD000000000000000000	170吸血殭屍	00001D28	0002BD42	464	69	3	00000000	00000000	00000000
all_char.act	0	171	171	171	313731ABD5C64600000000000000000000000000	171幽靈	00001D54	0004B3AC	642	69	4	00000000	00000000	00000000
all_char.act	0	172	172	172	313732AAFCB4B6ACA5AD7D000000000000000000	172阿普洛迪	00001D80	000904D0	674	69	5	00000000	00000000	00000000
all_char.act	0	173	173	173	313733AAFCA9DEAA460000000000000000000000	173阿拔東	00001DAC	00070B48	564	69	4	00000000	00000000	00000000
all_char.act	0	174	174	174	313734AAFCB0AAB4B50000000000000000000000	174阿高斯	00001DD8	00070D7C	728	69	5	00000000	00000000	00000000
all_char.act	0	175	175	175	313735AAA2C66000000000000000000000000000	175炎顱	00001E04	000542C8	624	69	5	00000000	00000000	00000000
all_char.act	0	176	176	176	313736B6C2B05C00000000000000000000000000	176黑豹	00001E30	0004683C	564	69	4	00000000	00000000	00000000
all_char.act	0	177	177	177	313737A4F5F4C6EB600000000000000000000000	177火蠑螈	00001E5C	00041EFC	616	69	4	00000000	00000000	00000000
all_char.act	0	178	178	178	313738AFABC07300000000000000000000000000	178神龍	00001E88	00084036	1432	69	5	00000000	00000000	00000000
all_char.act	0	179	179	179	313739BBF1B0C400000000000000000000000000	179鳳凰	00001EB4	000957A0	2476	69	6	00000000	00000000	00000000
all_char.act	0	180	180	180	313830AEE6ADDBAF530000000000000000000000	180格倫特	00001EE0	00053A4A	536	69	4	00000000	00000000	00000000
all_char.act	0	181	181	181	313831AE77B6F000000000000000000000000000	181庫塔	00001F0C	00055AFE	664	69	4	00000000	00000000	00000000
all_char.act	0	182	182	0	0000000000000000000000000000000000000000		00001F38	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	183	183	0	0000000000000000000000000000000000000000		00001F64	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	184	184	184	313834ADB9ABCDB0AD0000000000000000000000	184食屍鬼	00001F90	00073ECA	1152	69	6	00000000	00000000	00000000
all_char.act	0	185	185	185	313835A473B0AD00000000000000000000000000	185山鬼	00001FBC	00062EAE	672	69	5	00000000	00000000	00000000
all_char.act	0	186	186	186	313836B6C2B54CB1600000000000000000000000	186黑無常	00001FE8	0008C6B0	828	69	5	00000000	00000000	00000000
all_char.act	0	187	187	0	0000000000000000000000000000000000000000		00002014	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	188	188	0	0000000000000000000000000000000000000000		00002040	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	189	189	189	313839ADB9A448AAE10000000000000000000000	189食人花	0000206C	0002C856	452	69	3	00000000	00000000	00000000
all_char.act	0	190	190	0	0000000000000000000000000000000000000000		00002098	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	191	191	191	313931BCD6A550A46B0000000000000000000000	191樂仙女	000020C4	0007B5DA	672	69	5	00000000	00000000	00000000
all_char.act	0	192	192	0	0000000000000000000000000000000000000000		000020F0	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	193	193	0	0000000000000000000000000000000000000000		0000211C	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	194	194	194	313934A5D5B54CB1600000000000000000000000	194白無常	00002148	0007434A	1228	69	6	00000000	00000000	00000000
all_char.act	0	195	195	0	0000000000000000000000000000000000000000		00002174	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	196	196	0	0000000000000000000000000000000000000000		000021A0	00000000	0	0	0	00000000	00000000	00000000
all_char.act	0	197	197	197	313937AFCFA4E000000000000000000000000000	197耆戈	000021CC	00055D96	1172	69	4	00000000	00000000	00000000
all_char.act	0	198	198	198	313938A55FA4E6AC50A767000000000000000000	198北斗星君	000021F8	0008C14E	690	69	5	00000000	00000000	00000000
all_char.act	0	199	199	199	313939A4D1B14E00000000000000000000000000	199天將	00002224	0008C400	688	69	5	00000000	00000000	00000000
