structure	base_or_entry	size_bytes	offset_hex	width_bytes	semantic_name	status	evidence
role_record	004BABA8	216	00C9	1	action_byte_c9	business-name-pending	004321E0
role_record	004BABA8	216	00CA	1	action_byte_ca	business-name-pending	004321E0
role_record	004BABA8	216	00CC	4	action_end_or_wait_state	business-name-pending	004321E0
role_record	004BABA8	216	00D0	4	battle_call_stream_control_mode	producer-confirmed	0047F960,0047F976,004838E4,004838FC,00483DC4,00483DDC
role_record	004BABA8	216	00D4	4	action_flag_state	business-name-pending	004321E0
generic_action_record	0040DC00	152	001C	4	initialized_minus_one_field_1c	consumer-pending	0040DC07
generic_action_record	0040DC00	152	0020	4	one_shot_override_for_action_08_or_minus_one	role-consumer-confirmed	0040DC0A,0040F80D,0040F814,0040F822
generic_action_record	0040DC00	152	003C	4	one_shot_override_for_action_34_or_minus_one	role-consumer-confirmed	0040DC0D,0040F817,0040F81E,0040F825
talk_state	004B72A0	216	0004	4	trigger_world_x	confirmed	00402F80,0040A570,00427300
talk_state	004B72A0	216	0008	4	trigger_world_y	confirmed	00402F80,0040A570,00427300
talk_state	004B72A0	216	0010	4	trigger_role_flags_snapshot	bits-pending	00402F80,00427300
talk_state	004B72A0	216	0014	4	talk_data_offset_or_zero	confirmed	00427300,00427920
talk_state	004B72A0	216	001E	2	talk_file_number	confirmed	00402F80,00427300,00427920
talk_state	004B72A0	216	0020	2	current_instruction_byte_offset	confirmed	00402F80,00427300,00427920
talk_state	004B72A0	216	0024	2	talk_context_low	confirmed-sentinels-ffff-fffd	00402F80,00427300,00427920
talk_state	004B72A0	216	0026	2	talk_context_high_unknown	business-name-pending	00427920
win32_file_object	00438000	80	0000	4	file_handle	confirmed-32-bit-layout	00438000,004380B0,00438150
win32_file_object	00438000	80	0004	4	file_mapping_handle	confirmed-32-bit-layout	004381E0,00438230
win32_file_object	00438000	80	0008	4	mapped_view_pointer	confirmed-32-bit-layout	00438030,00438290
win32_file_object	00438000	80	000C	4	owned_filename_pointer	confirmed-32-bit-layout	004380B0,00438150
win32_file_object	00438000	80	0010	64	format_message_error_buffer	confirmed	00438620,00438640
text_input_object	004389D0	32	0000	4	ansi_dbcs_buffer_pointer	confirmed-32-bit-layout	004389D0,00438A70
text_input_object	004389D0	32	0004	4	text_box_x	confirmed	004389D0,00411700
text_input_object	004389D0	32	0008	4	text_box_y	confirmed	004389D0,00411700
text_input_object	004389D0	32	000C	4	maximum_text_bytes	confirmed	004389D0,00438AF0
text_input_object	004389D0	32	0010	4	cursor_byte_offset	confirmed	004389D0,00438AE0
text_input_object	004389D0	32	0014	4	input_result_state	enum-name-pending	00438A60,00438B50
text_input_object	004389D0	32	0018	4	is_ime_layout	confirmed	00438B50
text_input_object	004389D0	32	001C	4	constructor_one_unknown	business-name-pending	004389D0
item_node	0044D0F0	176	0000	4	next_pointer	confirmed-32-bit-layout	0044D1B6,0044D2B7,0044D5AC,0044F770
item_node	0044D0F0	176	0004	2	item_id	confirmed	0044D18C,0044D2A0,0044E3B1
item_node	0044D0F0	176	0006	2	shop_selected_count	confirmed	0044E2BC,0044E38D,0044E531
item_node	0044D0F0	176	0008	2	quantity_a	business-split-pending	0044D19A,0044D37D,0044E43B
item_node	0044D0F0	176	000A	2	quantity_b	business-split-pending	0044D31F,0044D3B1,0044E437
item_node	0044D0F0	176	000C	164	embedded_mon_definition_snapshot	confirmed-range	0044D229,0044D431,00476DF2
item_node	0044D0F0	176	000C	32	display_name_nominal_space	parser-copy-unbounded-to-ff	004771B9,004771D9,0044F17E
item_node	0044D0F0	176	002C	4	category_or_ability_flags	enum-pending	004770FA,0044E8D4,0044F840
item_node	0044D0F0	176	0046	2	four_subject_restriction_flags	confirmed-masks-names-pending	0047710B,0044F0B0,0044F132
item_node	0044D0F0	176	0052	2	unit_price	confirmed	00476FAA,0044E330,0044F770
item_node	0044D0F0	176	005C	2	action_graphic_resource_id	confirmed-width-domain	00476FD1,0044EF78
item_node	0044D0F0	176	00AC	4	owned_description_string_pointer	confirmed-32-bit-layout	0047706C,0044D54F,0044D5B0
battle_actor_group_a	005029D0	12084	0000	4	owned_private_block_38	confirmed-32-bit-layout	0046E49B,0046E4BC
battle_actor_group_a	005029D0	12084	02A0	2736	action_record_array_18	confirmed-range-and-stride	00451A77,0047D350
battle_actor_group_a	005029D0	12084	2BC8	760	group_a_action_record_array_5	confirmed-range-and-stride	00471257,00471FCD,0047200B
battle_actor_group_a	005029D0	12084	2F18	2	constructor_zero_tail_2f18	business-name-pending	0046E4A4
battle_actor_group_a	005029D0	12084	2F26	2	constructor_zero_tail_2f26	business-name-pending	0046E49D
battle_actor_group_b	00525508	11048	000C	4	owned_private_block_a4	confirmed-32-bit-layout	00475569,0047557F
battle_actor_group_b	00525508	11048	02A0	2736	action_record_array_18	confirmed-range-and-stride	00451A5D,0047D350
picture_action_list_node	0042B1F1	164	0000	8	node_header_unknown	business-name-pending	0042B218,0042B229
picture_action_list_node	0042B1F1	164	0008	152	embedded_action_record	confirmed-range	0042B208,004147F7,004147FB
picture_action_list_node	0042B1F1	164	00A0	4	next_pointer	confirmed-32-bit-layout	0042B24C,004148BD,004148DC
picpaint_action_list_node	0042A0A6,0042A200	180	0000	152	action_record	confirmed-range	0042A0BD,0042A217,00414BA3,00414CF7
picpaint_action_list_node	0042A0A6,0042A200	180	0098	24	list_specific_motion_extension	business-fields-pending	0042A0F2,0042A241,00414C40,00414D58
picpaint_action_list_node	0042A0A6,0042A200	180	00B0	4	next_pointer	confirmed-32-bit-layout	0042A1C9,0042A2A0,00414CA9,00414E1A
battle_status_action_node	0047DCB9	172	0000	4	next_pointer	confirmed-32-bit-layout	0047DCD0,0047DCD5,0047E66F
battle_status_action_node	0047DCB9	172	0004	152	embedded_action_record	confirmed-range	0047E69F,0047E6A3
battle_status_action_node	0047DCB9	172	009C	4	status_flags_or_type	enum-pending	0047DCEB,0047DB1B
battle_status_action_node	0047DCB9	172	00A0	2	elapsed_time_unknown	business-name-pending	0047DAFC,0047DB0C
battle_status_action_node	0047DCB9	172	00A2	2	count_or_remaining_unknown	business-name-pending	0047DC85,0047DB71
battle_status_action_node	0047DCB9	172	00A4	2	lookup_id	confirmed-use	0047E4D4,0047E4DD
battle_status_action_node	0047DCB9	172	00A6	2	state_number	enum-pending	0047DD3F,0047E80C
battle_status_action_node	0047DCB9	172	00A8	2	state_parameter	business-name-pending	0047DCF1,0047DB35
battle_effect_action_node	0048010D	476	0000	4	next_pointer	confirmed-32-bit-layout	00480124,004800A7,004800C4
battle_effect_action_node	0048010D	476	0004	152	action_record_0	confirmed-range	0047FC88,0047FC8C
battle_effect_action_node	0048010D	476	009C	152	action_record_1	confirmed-range	0047FF23,0047FF38
battle_effect_action_node	0048010D	476	0134	168	effect_extension	confirmed-range-fields-pending	0047FEC1,004801D4
battle_effect_action_node	0048010D	476	01DA	1	pending_delete_flag	confirmed-use	00480026,004800BB
battle_effect_action_node	0048010D	476	01DB	1	initialization_or_attachment_flag	business-name-pending	004801C5
static_action_pool_4	004AD0D8	608	0000	608	action_record_array_4	confirmed-range-and-stride	0041621A,00416321,00416383,0041639D
act_stream_cache_node	00432D82	24	0000	4	next_pointer	confirmed-32-bit-layout	00432D8F,00432D77,00432E95
act_stream_cache_node	00432D82	24	0004	4	action_id	confirmed	00432DAE,00432E89
act_stream_cache_node	00432D82	24	0008	4	variant_index	confirmed	00432DC3,00432E8E
act_stream_cache_node	00432D82	24	000C	4	selected_stream_size	confirmed	00432DD1,00432E2A,00432F4A
act_stream_cache_node	00432D82	24	0010	4	zero_unknown_10	business-name-pending	00432D9C
act_stream_cache_node	00432D82	24	0014	4	owned_selected_stream_pointer	ownership-confirmed	00432E1B,00432EC1,00432F53
act_index_cache_node	004330B0	20	0000	4	next_pointer	confirmed-32-bit-layout	00433109,004331CE
act_index_cache_node	004330B0	20	0004	4	archive_group	confirmed	00433144,004331C2
act_index_cache_node	004330B0	20	0008	4	record_number	confirmed	0043314D,004331C7
act_index_cache_node	004330B0	20	000C	4	block_file_offset	confirmed	00433156,00433203
act_index_cache_node	004330B0	20	0010	4	block_size	confirmed	00433164,00433211
snd_runtime_index_entry	00486335	16	0000	4	payload_file_offset	confirmed	004863B2-004863B6,0048649F-004864A5
snd_runtime_index_entry	00486335	16	0004	4	packed_low26_size_high_type	confirmed	00486391-00486402,004864CC-004864DE
snd_runtime_index_entry	00486335	16	0008	4	active_sample_reference_count	confirmed	004863C3-004863C6,00485E0D-00485E24,00485ED7-00485EEC
snd_runtime_index_entry	00486335	16	000C	4	owned_loader_buffer_pointer	ownership-operations-confirmed	004863CE-004863D7,00485E26-00485E2C,00485EFD-00485F0D,0048644B-0048645A
mz_wrapped_dat_header	file+00000000	512	0000	2	mz_magic	confirmed-nine-samples	file-sample-validation
mz_wrapped_dat_header	file+00000000	512	0002	2	mz_last_page_bytes_e_cblp	confirmed-size-formula	file-sample-validation
mz_wrapped_dat_header	file+00000000	512	0004	2	mz_page_count_e_cp	confirmed-size-formula	file-sample-validation
mz_wrapped_dat_header	file+00000000	512	0006	2	mz_relocation_count_zero	confirmed-nine-samples	file-sample-validation
mz_wrapped_dat_header	file+00000000	512	0008	2	mz_header_paragraphs_0x20	confirmed-payload-base	0040F19A,0042E52D,0046E180,00476ECE,0047734E
mz_wrapped_dat_header	file+00000000	512	001C	2	custom_reserved_word_one	business-name-pending	file-sample-validation
mz_wrapped_dat_header	file+00000000	512	001E	482	zero_padding_to_payload	confirmed-nine-samples	file-sample-validation
map_cache_directory_entry	0042696D	16	0000	4	map_id_or_minus_one_free	confirmed	004269B1,00426A1A,00426B1E,00426B76,00426C28
map_cache_directory_entry	0042696D	16	0004	4	cm_cache_size_bytes	confirmed-use	004269BC,00426B23,00426B5B,00426B7C,00426C2E
map_cache_directory_entry	0042696D	16	0008	4	use_age_counter	confirmed-state-machine	00426993-0042699A,00426A60,00426B40,00426B7F,00426C31
map_cache_directory_entry	0042696D	16	000C	4	cm_slot_number	confirmed	00426A37,00426B2A,00426B58,00426B82,00426C3C
party_item_sentinel_heads	004A9490	16	0000	4	party_slot_0_item_sentinel_pointer	confirmed-range-and-lifecycle	0040E856-0040E8C4,0040F442-0040F498,00477C06
party_item_sentinel_heads	004A9490	16	0004	4	party_slot_1_item_sentinel_pointer	confirmed-range-and-lifecycle	0040E856-0040E8F7,0040F442-0040F498,00477C06
party_item_sentinel_heads	004A9490	16	0008	4	party_slot_2_item_sentinel_pointer	confirmed-range-and-lifecycle	0040E856-0040E929,0040F442-0040F498,00477C06
party_item_sentinel_heads	004A9490	16	000C	4	party_slot_3_item_sentinel_pointer	confirmed-range-and-lifecycle	0040E856-0040E95C,0040F442-0040F498,00477C06
