file	record_kind	logical_index_or_field	file_offset_hex	size_bytes	value_hex_or_hash	value_text_or_integer	assembly_use
Fame.dat	fame_u16_slot	17	00000022	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	18	00000024	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	19	00000026	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	20	00000028	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	21	0000002A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	22	0000002C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	23	0000002E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	24	00000030	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	25	00000032	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	26	00000034	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	27	00000036	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	28	00000038	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	29	0000003A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	30	0000003C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	31	0000003E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	32	00000040	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	33	00000042	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	34	00000044	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	35	00000046	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	36	00000048	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	37	0000004A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	38	0000004C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	39	0000004E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	40	00000050	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	41	00000052	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	42	00000054	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	43	00000056	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	44	00000058	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	45	0000005A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	46	0000005C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	47	0000005E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	48	00000060	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	49	00000062	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	50	00000064	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	51	00000066	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	52	00000068	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	53	0000006A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	54	0000006C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	55	0000006E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	56	00000070	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	57	00000072	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	58	00000074	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	59	00000076	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	60	00000078	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	61	0000007A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	62	0000007C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	63	0000007E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	64	00000080	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	65	00000082	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	66	00000084	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	67	00000086	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	68	00000088	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	69	0000008A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	70	0000008C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	71	0000008E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	72	00000090	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	73	00000092	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	74	00000094	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	75	00000096	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	76	00000098	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	77	0000009A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	78	0000009C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	79	0000009E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	80	000000A0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	81	000000A2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	82	000000A4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	83	000000A6	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	84	000000A8	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	85	000000AA	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	86	000000AC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	87	000000AE	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	88	000000B0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	89	000000B2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	90	000000B4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	91	000000B6	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	92	000000B8	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	93	000000BA	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	94	000000BC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	95	000000BE	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	96	000000C0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	97	000000C2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	98	000000C4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	99	000000C6	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	100	000000C8	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	101	000000CA	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	102	000000CC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	103	000000CE	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	104	000000D0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	105	000000D2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	106	000000D4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	107	000000D6	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	108	000000D8	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	109	000000DA	2	0002	2	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	110	000000DC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	111	000000DE	2	0001	1	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	112	000000E0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	113	000000E2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	114	000000E4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	115	000000E6	2	0003	3	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	116	000000E8	2	0001	1	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	117	000000EA	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	118	000000EC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	119	000000EE	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	120	000000F0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	121	000000F2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	122	000000F4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	123	000000F6	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	124	000000F8	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	125	000000FA	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	126	000000FC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	127	000000FE	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	128	00000100	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	129	00000102	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	130	00000104	2	0001	1	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	131	00000106	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	132	00000108	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	133	0000010A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	134	0000010C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	135	0000010E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	136	00000110	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	137	00000112	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	138	00000114	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	139	00000116	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	140	00000118	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	141	0000011A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	142	0000011C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	143	0000011E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	144	00000120	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	145	00000122	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	146	00000124	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	147	00000126	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	148	00000128	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	149	0000012A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	150	0000012C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	151	0000012E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	152	00000130	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	153	00000132	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	154	00000134	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	155	00000136	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	156	00000138	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	157	0000013A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	158	0000013C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	159	0000013E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	160	00000140	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	161	00000142	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	162	00000144	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	163	00000146	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	164	00000148	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	165	0000014A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	166	0000014C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	167	0000014E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	168	00000150	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	169	00000152	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	170	00000154	2	0001	1	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	171	00000156	2	0001	1	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	172	00000158	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	173	0000015A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	174	0000015C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	175	0000015E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	176	00000160	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	177	00000162	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	178	00000164	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	179	00000166	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	180	00000168	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	181	0000016A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	182	0000016C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	183	0000016E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	184	00000170	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	185	00000172	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	186	00000174	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	187	00000176	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	188	00000178	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	189	0000017A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	190	0000017C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	191	0000017E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	192	00000180	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	193	00000182	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	194	00000184	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	195	00000186	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	196	00000188	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	197	0000018A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	198	0000018C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	199	0000018E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	200	00000190	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	201	00000192	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	202	00000194	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	203	00000196	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	204	00000198	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	205	0000019A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	206	0000019C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	207	0000019E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	208	000001A0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	209	000001A2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	210	000001A4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	211	000001A6	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	212	000001A8	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	213	000001AA	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	214	000001AC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	215	000001AE	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	216	000001B0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	217	000001B2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	218	000001B4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	219	000001B6	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	220	000001B8	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	221	000001BA	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	222	000001BC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	223	000001BE	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	224	000001C0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	225	000001C2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	226	000001C4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	227	000001C6	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	228	000001C8	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	229	000001CA	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	230	000001CC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	231	000001CE	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	232	000001D0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	233	000001D2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	234	000001D4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	235	000001D6	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	236	000001D8	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	237	000001DA	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	238	000001DC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	239	000001DE	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	240	000001E0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	241	000001E2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	242	000001E4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	243	000001E6	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	244	000001E8	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	245	000001EA	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	246	000001EC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	247	000001EE	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	248	000001F0	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	249	000001F2	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	250	000001F4	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	251	000001F6	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	252	000001F8	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	253	000001FA	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	254	000001FC	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	255	000001FE	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	256	00000200	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	257	00000202	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	258	00000204	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	259	00000206	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	260	00000208	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	261	0000020A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	262	0000020C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	263	0000020E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	264	00000210	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	265	00000212	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	266	00000214	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	267	00000216	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	268	00000218	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	269	0000021A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	270	0000021C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	271	0000021E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	272	00000220	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	273	00000222	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	274	00000224	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	275	00000226	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	276	00000228	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	277	0000022A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	278	0000022C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	279	0000022E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	280	00000230	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	281	00000232	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	282	00000234	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	283	00000236	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	284	00000238	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	285	0000023A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	286	0000023C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	287	0000023E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	288	00000240	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	289	00000242	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	290	00000244	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	291	00000246	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	292	00000248	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	293	0000024A	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	294	0000024C	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	295	0000024E	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	296	00000250	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	297	00000252	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	298	00000254	2	0000	0	fame id 1..500 raw u16 value
Fame.dat	fame_u16_slot	299	00000256	2	0000	0	fame id 1..500 raw u16 value
