effective_opcode	entry_target	working_operation	operand_layout	physical_length_rule	state_reads	state_writes	flow_and_timing	error_or_quirk	helper_calls	assembly_evidence	audit_status
10	0x00427ED0	change_role_field_08	+2 u16 role selector; +4 u16 value	6	state+24 for FFF0; role lookup; role action fields	found role: role+0x44=0 and role+0x08=value; missing role: fallback sub_40D460 path	advance 6; ESI=1; continue in same call	helper/diagnostic paths differ for existing and missing role; raw operation label ChangQQ	sub_40C0D0; sub_42E740; sub_4321E0; sub_40D460	0x00427ED0-0x00427FB0;0x004280F7-0x0042811A	assembly_audited_business_name_neutral
11	0x00427FEB	change_role_field_34_and_flag1000	+2 u16 role selector; +4 u16 value	6	state+24 for FFF0; role lookup; role action fields	found role: role+0x34=value, role+0x44=0, role+0x10 |= 0x00001000; missing role: fallback sub_40D460 path	advance 6; ESI=1; continue in same call	raw operation label ChangDir; OR on CH sets dword bit 0x1000, not 0x00100000	sub_40C0D0; sub_42E740; sub_4321E0; sub_40D460	0x00427FEB-0x0042811A	assembly_audited_business_name_neutral
12	0x0042811F	set_role_position	+2 u16 role selector; +4 u16 component A; +6 u16 component B	8	state+24 for FFF0; controlled role index; role current/action fields	if target is current context: role+0x4C=-1, role+0x78=-1, role+0x10 clears 0x00080000; sub_42DAF0 receives both components shifted left 4; dword_4A9920 |= 0x8000 for controlled role	advance 8; ESI=1; continue in same call	missing role emits setpos diagnostic but still consumes instruction	sub_40C0D0; sub_42DAF0	0x0042811F-0x00428225	assembly_audited_business_name_neutral
13	0x0042822A	request_role_step_update	+2 u16 role selector	4	state+24 for FFF0; ArgList diagnostic value; role+0x10 bit 0x02000000	if role exists and bit 0x02000000 is clear, call sub_42E280(role index)	advance 4; ESI=0; yield after operation	missing role and already-flagged role still consume instruction	sub_40C0D0; sub_42E280	0x0042822A-0x00428297;0x0042C7E6-0x0042C7F6	assembly_audited_business_name_neutral
14	0x0042829C	wait_role_action_status_zero	+2 u16 selector; FFF0=current state+24; FFFD=state-local status	4	state+24/+26 or resolved role+0x26 action status	none	status nonzero: no advance and yield; status zero: advance 4 then yield	wait is frame retry, not sleep and not same-call busy loop	sub_40C0D0 for ordinary selector	0x0042829C-0x0042830B	assembly_audited_business_name_neutral
15	0x00428310	reload_same_talk_window	+2 u32 target relative to TALK payload base	control_transfer; physical footprint 6	current TALK file object	state+0x14=target; state+0x20=0; 0x8000-byte window reloaded	no sequential advance; ESI=1; continue at target in same call	target has no range validation	sub_42E430	0x00428310-0x00428313;0x0042CCD5-0x0042CCF2;0x0042E430-0x0042E47B	assembly_audited_business_name_neutral
16	0x00428318	branch_if_matching_object_role_flag_clear	+2 u16 role selector; +4 u32 target	8	resolved role index; 72 object slots of stride 0x21C; role+0x10 bit 0x40000000	transfer path reloads same TALK window	matching type-2 object with role flag clear: transfer; otherwise advance 8; both continue same call	object scan is fixed to 72 slots	sub_40C0D0; sub_42E430	0x00428318-0x004283A7	assembly_audited_business_name_neutral
17	0x004283AC	branch_if_matching_object_role_flag_set	+2 u16 role selector; +4 u32 target	8	resolved role index; 72 object slots of stride 0x21C; role+0x10 bit 0x40000000	transfer path reloads same TALK window	matching type-2 object with role flag set: transfer; otherwise advance 8; both continue same call	object scan is fixed to 72 slots	sub_40C0D0; sub_42E430	0x004283AC-0x00428455	assembly_audited_business_name_neutral
18	0x0042845A	release_role_path	+2 u16 role selector	4	resolved role action state	always clears role+0x10 bit31 and role+0x84 u16; helper completes a matching type>1 slot	sub_42D920 nonzero: advance 4; zero: keep same IP; both publish previous18 and continue in the same call	zero return clears bit31 before retry, so the repeated opcode18 advances on its second execution	sub_40C0D0; sub_42D920	0x0042845A-0x004284BD	assembly_audited_business_name_neutral
19	0x004284C2	release_all_roles_with_bit31	none	2	role count dword_49E0C4; role records 1..count-1; role+0x10 bit31	for every set bit: call sub_42D920, clear role+0x10 bit31 and role+0x84 u16	advance 2; ESI=1; continue in same call	role index zero is skipped	sub_42D920	0x004284C2-0x0042852E;0x00427E84-0x00427E95	assembly_audited_business_name_neutral
20	0x0042ADB7	schedule_role_records_then_wait_ready	+2 u16 count/flags (low14=count, bit14=phase marker, bit15 forwarded flag); +4 count records of {u16 role_selector,u16 tile_x,u16 tile_y}	4 + 6*u14_count	context source GUID; role lookup; selected role world coordinates for FFFF tile components; role+0x10 bit 0x02000000	initial phase clears source role bit 0x00080000 and cached action variants, initializes role+0x88 wait override, schedules each resolved role with three -1 action operands, sets selected-role dialog bit15, then sets operand bit14; ready phase clears operand high bits	bit14 clear schedules then yields; bit14 set queries each role and yields until every role is prepared/arrived; all ready advances 4+6*count and continues same call	missing role is skipped only in initial phase; wait-phase miss reaches the original role dereference; bit15 is forwarded then cleared with bit14; FFFF coordinates use the controlled role; operand tails are read only at phase-specific danger points	sub_40C0D0; sub_42DAF0; sub_42E280	0x0042ADB7-0x0042B06E	assembly_audited_business_name_neutral
21	0x00428533	branch_if_global_bit_set	+2 u16 global bit id; +4 u32 same-file target read only on taken branch	8	global state bit through sub_40DC50	branch services audio, publishes target/zero IP, reloads same TALK window without clearing; both paths publish previous opcode	bit set: transfer and continue from reloaded window in same call; bit clear: advance 8 and continue same call	target may be absent on the no-branch path; branch I/O failure preserves audio and target/zero-IP effects; sequential advance may leave the 0x8000-byte window before the next fetch	sub_40DC50; sub_42E430	0x00428533-0x0042857A	assembly_audited_business_name_neutral
22	0x00428533	branch_if_global_bit_clear	+2 u16 global bit id; +4 u32 same-file target read only on taken branch	8	global state bit through sub_40DC50	branch services audio, publishes target/zero IP, reloads same TALK window without clearing; both paths publish previous opcode	bit clear: transfer and continue from reloaded window in same call; bit set: advance 8 and continue same call	predicate is exact XOR inversion of opcode21; target/no-branch tail and branch failure ordering are otherwise identical to opcode21	sub_40DC50; sub_42E430	0x00428533-0x0042857A	assembly_audited_business_name_neutral
23	0x0042857F	branch_if_all_global_bits_set	+2 repeated u16 global bit ids terminated by FF00; then u32 same-file target read only when every bit is set	8 + 2*item_count	byte_4AB384 global bitset for every listed id	branch services audio, publishes target/zero IP, reloads same TALK window without clearing; both paths publish previous opcode	empty/all-set list transfers and continues same call; any clear bit still scans through FF00, then advances 8+2*count and continues same call	empty list is unconditionally true; FF00 scan is unbounded in the machine code; target may be absent on no-branch; branch I/O failure preserves loader effects	sub_42E430	0x0042857F-0x004285E8	assembly_audited_business_name_neutral
24	0x004285ED	branch_if_any_global_bit_set	+2 u16 bit ids until FF00; then u32 target	8 + 2*item_count	byte_4AB384 global bitset	transfer path reloads same TALK window	any listed bit set: transfer; otherwise advance 8+2*count; both continue same call	empty list does not transfer; unbounded FF00 scan	sub_42E430	0x004285ED-0x00428656	assembly_audited_business_name_neutral
