address	group	disposition	implementation_mapping	evidence	remaining
0x004859B0	sample_manager	implemented_core	initialize_legacy_audio_output+LegacySampleManager::initialize_pool	legacy-audio-output-004859b0-00485ca6.md	original_diff
0x00485C20	sample_manager	implemented_core	LegacySampleManager::shutdown	legacy-sample-manager-004859b0-00486430.md	original_diff
0x00485CC0	sample_manager	implemented_core	LegacySampleManager::initialized	legacy-sample-manager-004859b0-00486430.md	original_diff
0x00485CD0	sample_manager	implemented_core	LegacySampleManager::sample_enabled	legacy-sample-manager-004859b0-00486430.md	original_diff
0x00485CE0	sample_manager	implemented_core_deferred_backend	LegacySampleManager::play	legacy-sample-manager-004859b0-00486430.md	compressed_sample_libffmpeg+original_diff
0x00485E90	sample_manager	implemented_core	LegacySampleManager::stop	legacy-sample-manager-004859b0-00486430.md	original_diff
0x00485F30	sample_manager	implemented_core	LegacySampleManager::stop_all	legacy-sample-manager-004859b0-00486430.md	original_diff
0x00485FE0	sample_manager	implemented_core	LegacySampleManager::set_volume	legacy-sample-manager-004859b0-00486430.md	original_diff
0x00486030	sample_manager	implemented_core	LegacySampleManager::set_pan	legacy-sample-manager-004859b0-00486430.md	original_diff
0x00486080	sample_manager	implemented_core	LegacySampleManager::service_completed_samples	legacy-sample-manager-004859b0-00486430.md	original_diff
0x00486160	sample_manager	implemented_core	LegacySampleManager::push_free_node	legacy-sample-manager-004859b0-00486430.md	original_diff
0x00486190	sample_manager	implemented_core	LegacySampleManager::pop_free_node	legacy-sample-manager-004859b0-00486430.md	original_diff
0x004861B0	sample_manager	implemented_core	LegacySampleManager::push_active_node	legacy-sample-manager-004859b0-00486430.md	original_diff
0x004861D0	sample_manager	implemented_core	LegacySampleManager::find_active_node	legacy-sample-manager-004859b0-00486430.md	original_diff
0x00486210	sample_manager	implemented_core	LegacySampleManager::unlink_active_node	legacy-sample-manager-004859b0-00486430.md	original_diff
0x00486260	audio_parameter	implemented_core	legacy_audio_volume_parameter	legacy-audio-parameters-00486260-00486280.md	original_diff
0x00486280	audio_parameter	implemented_core	legacy_audio_pan_parameter	legacy-audio-parameters-00486260-00486280.md	original_diff
0x004862A0	sample_manager	implemented_core	LegacySampleManager::driver_token	legacy-sample-manager-004859b0-00486430.md	original_diff
0x004862B0	snd_archive	implemented_asset_verified	LegacySndArchive::open	legacy-snd-runtime-004862b0-00486490.md	original_diff
0x00486430	snd_archive	implemented_core	LegacySndArchive::close	legacy-snd-runtime-004862b0-00486490.md	original_diff
0x00486490	snd_archive	implemented_asset_verified	LegacySndArchive::load_sample	legacy-snd-runtime-004862b0-00486490.md	original_diff
0x004865B0	stream	implemented_core_deferred_backend	LegacyStreamManager::initialize_pool	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x004866A0	stream	implemented_core	LegacyStreamManager::initialized	legacy-stream-manager-004865b0-00486a70.md	original_diff
0x004866B0	stream	implemented_core	LegacyStreamManager::stream_enabled	legacy-stream-manager-004865b0-00486a70.md	original_diff
0x004866C0	stream	implemented_core_deferred_backend	LegacyStreamManager::set_volume	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x00486730	stream	implemented_core_deferred_backend	LegacyStreamManager::play	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x00486860	stream	implemented_core_deferred_backend	LegacyStreamManager::begin_fade	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x004868E0	stream	implemented_core	legacy_fade_step	legacy-stream-manager-004865b0-00486a70.md	original_diff
0x00486900	stream	implemented_core_deferred_backend	LegacyStreamManager::service	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x00486A10	stream	implemented_core_deferred_backend	LegacyStreamManager::stream_absent	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
0x00486A30	stream	implemented_core	LegacyStreamManager::pop_free_node	legacy-stream-manager-004865b0-00486a70.md	original_diff
0x00486A50	stream	implemented_core	LegacyStreamManager::push_active_node	legacy-stream-manager-004865b0-00486a70.md	original_diff
0x00486A70	stream	implemented_core_deferred_backend	LegacyStreamManager::find_active_node	legacy-stream-manager-004865b0-00486a70.md	libffmpeg+original_diff
