role_offset_hex	access_width_bytes	access_kind	instruction_address	owner_function	base_register	register_role_delta_hex	proof_anchor	proof_note	assembly_instruction
08	4	read	0042762B	00427300:sub_427300	EDI	+0x0	004274D2	候选角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址；到返回或 0x00427682 改写前为止	0042762B                 mov     eax, [edi+8]
08	4	read	00427825	00427300:sub_427300	ESI	+0x0	0042732D	主角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	00427825                 mov     ebp, [esi+8]
08	4	read	00427859	00427300:sub_427300	ESI	+0x0	0042732D	主角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	00427859                 mov     edx, [esi+8]
0C	4	write	00406067	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00406067                 mov     [ebp+0Ch], eax
0C	4	write	0040F2ED	0040F280:sub_40F280	ESI	+0x0	0040F281	函数参数直接装入 ESI；调用者传入角色记录，且 ESI 在函数内保持不变	0040F2ED                 mov     [esi+0Ch], ecx
0C	4	read	004123B6	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004123B6                 mov     eax, [esi+0Ch]
0C	4	write	004123C0	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004123C0                 mov     [esi+0Ch], eax
0C	4	read	004123E1	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004123E1                 mov     ecx, [esi+0Ch]
0C	4	read	00412427	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412427                 mov     ecx, [esi+0Ch]
0C	4	read	004125BC	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004125BC                 mov     edi, [esi+0Ch]
0C	4	write	004125C7	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004125C7                 mov     [esi+0Ch], edi
0C	4	read	004125E7	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004125E7                 mov     ecx, [esi+0Ch]
0C	4	read	0041276F	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	0041276F                 mov     esi, [ebx+0Ch]
0C	4	write	0041277A	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	0041277A                 mov     [ebx+0Ch], esi
0C	4	read	0041280F	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	0041280F                 mov     ecx, [ebx+0Ch]
10	4	read	0040544A	00405430:sub_405430	ESI	+0x10	00405445	ESI 从第二条角色记录 +0x10 开始并按 0xD8 遍历；字段偏移需加上该基址偏移	0040544A                 mov     eax, [esi]
10	4	read	004055D7	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	004055D7                 mov     eax, [ebp+10h]
10	4	write	004055E7	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	004055E7                 mov     [ebp+10h], eax
10	4	read	00405613	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405613                 mov     eax, [ebp+10h]
10	4	read_write	00405E72	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405E72                 or      dword ptr [ebp+10h], 4000000h
10	4	read	004060B4	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	004060B4                 mov     edx, [ebp+10h]
10	4	read	0040D6DD	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D6DD                 mov     eax, [esi+10h]
10	4	read	0040D763	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D763                 mov     edx, [esi+10h]
10	4	write	0040D772	0040D610:sub_40D610	ESI	+0x0	0040D626	角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址，ESI 保持到函数尾	0040D772                 mov     [esi+10h], edx
10	4	read	0040F2C1	0040F280:sub_40F280	ESI	+0x0	0040F281	函数参数直接装入 ESI；调用者传入角色记录，且 ESI 在函数内保持不变	0040F2C1                 mov     eax, [esi+10h]
10	4	write	0040F2D2	0040F280:sub_40F280	ESI	+0x0	0040F281	函数参数直接装入 ESI；调用者传入角色记录，且 ESI 在函数内保持不变	0040F2D2                 mov     [esi+10h], eax
10	4	write	0040F2FE	0040F280:sub_40F280	ESI	+0x0	0040F281	函数参数直接装入 ESI；调用者传入角色记录，且 ESI 在函数内保持不变	0040F2FE                 mov     [esi+10h], eax
10	4	read	0040F30A	0040F280:sub_40F280	ESI	+0x0	0040F281	函数参数直接装入 ESI；调用者传入角色记录，且 ESI 在函数内保持不变	0040F30A                 mov     ecx, [esi+10h]
10	4	write	0040F318	0040F280:sub_40F280	ESI	+0x0	0040F281	函数参数直接装入 ESI；调用者传入角色记录，且 ESI 在函数内保持不变	0040F318                 mov     [esi+10h], eax
10	4	read	0040F320	0040F280:sub_40F280	ESI	+0x0	0040F281	函数参数直接装入 ESI；调用者传入角色记录，且 ESI 在函数内保持不变	0040F320                 mov     edx, [esi+10h]
10	4	read	004122D8	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004122D8                 mov     eax, [esi+10h]
10	4	write	004122EC	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004122EC                 mov     [esi+10h], eax
10	4	read	0041232F	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041232F                 mov     eax, [esi+10h]
10	4	write	00412341	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412341                 mov     [esi+10h], eax
10	4	read_write	0041237F	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041237F                 and     dword ptr [esi+10h], 0FFFBFFFFh
10	4	read	004123D9	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004123D9                 mov     eax, [esi+10h]
10	4	write	004123E9	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004123E9                 mov     [esi+10h], eax
10	4	write	004123F8	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004123F8                 mov     [esi+10h], eax
10	4	read	00412403	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412403                 mov     eax, [esi+10h]
10	4	write	0041240B	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041240B                 mov     [esi+10h], eax
10	4	read	00412419	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412419                 mov     eax, [esi+10h]
10	4	read	00412467	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412467                 mov     eax, [esi+10h]
10	4	read	0041258C	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041258C                 mov     edx, [esi+10h]
10	4	read	004125DF	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004125DF                 mov     eax, [esi+10h]
10	4	write	004125EF	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004125EF                 mov     [esi+10h], eax
10	4	write	004125FE	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	004125FE                 mov     [esi+10h], eax
10	4	read	00412609	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412609                 mov     eax, [esi+10h]
10	4	write	00412611	004120B0:sub_4120B0	ESI	+0x0	00412542	队友角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	00412611                 mov     [esi+10h], eax
10	4	read	00412734	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	00412734                 mov     eax, [ebx+10h]
10	4	read	00412807	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	00412807                 mov     eax, [ebx+10h]
10	4	write	00412817	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	00412817                 mov     [ebx+10h], eax
10	4	write	00412826	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	00412826                 mov     [ebx+10h], eax
10	4	read	00412831	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	00412831                 mov     eax, [ebx+10h]
10	4	write	00412839	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	00412839                 mov     [ebx+10h], eax
10	4	read	0041283C	004120B0:sub_4120B0	EBX	+0x0	0041246F	从 var_C 恢复 0x00412121 保存的主角色基址，后续无 EBX 改写	0041283C                 mov     eax, [ebx+10h]
10	4	read	0042736B	00427300:sub_427300	EDI	+0x1e	00427366	EDI 从第二条角色记录 +0x1E 开始并按 0xD8 遍历；字段偏移需减去该基址偏移	0042736B                 mov     eax, [edi-0Eh]
10	1	read	004273F8	00427300:sub_427300	EDI	+0x1e	00427366	EDI 从第二条角色记录 +0x1E 开始并按 0xD8 遍历；字段偏移需减去该基址偏移	004273F8                 test    byte ptr [edi-0Eh], 20h
10	1	read	00427408	00427300:sub_427300	EDI	+0x1e	00427366	EDI 从第二条角色记录 +0x1E 开始并按 0xD8 遍历；字段偏移需减去该基址偏移	00427408                 mov     al, [edi-0Eh]
10	4	read	00427547	00427300:sub_427300	EDI	+0x0	004274D2	候选角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址；到返回或 0x00427682 改写前为止	00427547                 mov     eax, [edi+10h]
10	4	read	00427619	00427300:sub_427300	EDI	+0x0	004274D2	候选角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址；到返回或 0x00427682 改写前为止	00427619                 mov     ecx, [edi+10h]
10	4	read	0042764D	00427300:sub_427300	EDI	+0x0	004274D2	候选角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址；到返回或 0x00427682 改写前为止	0042764D                 mov     edx, [edi+10h]
14	4	read	0041243E	004120B0:sub_4120B0	ESI	+0x0	004121D4	事件角色编号乘 0xD8 后由 0x004BABA8 形成精确角色基址	0041243E                 mov     edx, [esi+14h]
14	4	read	004275F1	00427300:sub_427300	EDI	+0x0	004274D2	候选角色索引乘 0xD8 后由 0x004BABA8 形成精确角色基址；到返回或 0x00427682 改写前为止	004275F1                 mov     eax, [edi+14h]
18	4	read	0040553C	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	0040553C                 mov     eax, [ebp+18h]
18	4	read	0040558A	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	0040558A                 mov     eax, [ebp+18h]
18	4	write	0040559A	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	0040559A                 mov     [ebp+18h], eax
18	4	read	004055D2	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	004055D2                 mov     ecx, [ebp+18h]
18	4	write	004055E4	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	004055E4                 mov     [ebp+18h], ecx
18	4	read	004055FE	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	004055FE                 mov     eax, [ebp+18h]
18	4	write	0040560B	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	0040560B                 mov     [ebp+18h], eax
18	4	read	004056A3	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	004056A3                 mov     eax, [ebp+18h]
18	4	write	004056AE	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	004056AE                 mov     [ebp+18h], eax
18	4	read	00405717	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405717                 mov     eax, [ebp+18h]
18	4	write	00405724	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405724                 mov     [ebp+18h], eax
18	4	read	00405775	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405775                 mov     eax, [ebp+18h]
18	4	write	00405785	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405785                 mov     [ebp+18h], eax
18	4	read	004059A5	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	004059A5                 mov     ecx, [ebp+18h]
18	4	write	004059B2	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	004059B2                 mov     [ebp+18h], ecx
18	4	read	00405BA9	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405BA9                 mov     ecx, [ebp+18h]
18	4	write	00405BB6	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405BB6                 mov     [ebp+18h], ecx
18	4	read	00405BD1	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405BD1                 mov     eax, [ebp+18h]
18	4	write	00405BD9	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405BD9                 mov     [ebp+18h], eax
18	4	read	00405C1F	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405C1F                 mov     eax, [ebp+18h]
18	4	write	00405C2F	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405C2F                 mov     [ebp+18h], eax
18	4	read	00405C68	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405C68                 mov     eax, [ebp+18h]
18	4	write	00405C75	00405500:sub_405500	EBP	+0x0	00405521	角色索引先乘 0xD8，再加 0x004BABA8；函数内没有后续 EBP 赋值	00405C75                 mov     [ebp+18h], eax
