effective_opcode	entry_target	reachable_instruction_count	reaches_common_join	direct_return_sites	ip_mutation_sites	fixed_add_values	dynamic_or_absolute_sites	direct_calls	unresolved_edges	triage	scope_limit
11	0x00427FEB	84	yes		0x004280B5:fixed_add:add word ptr [ebp+0], 6|0x00428109:fixed_add:add word ptr [ebp+0], 6	6		0x00428004:sub_40C0D0|0x00428046:sub_42E740|0x00428053:sub_4321E0|0x00428089:nullsub_1|0x004280FD:sub_40D460		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
12	0x0042811F	72	yes		0x0042815A:fixed_add:add word ptr [ebp+0], 8|0x004281EE:fixed_add:add word ptr [ebp+0], 8	8		0x00428138:sub_40C0D0|0x00428155:nullsub_1|0x004281E9:sub_42DAF0		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
13	0x0042822A	35	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4		0x00428243:sub_40C0D0|0x00428266:nullsub_1|0x0042828F:sub_42E280		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
14	0x0042829C	30	yes		0x004282DF:fixed_add:add word ptr [ebp+0], 4|0x004282FF:fixed_add:add word ptr [ebp+0], 4	4		0x004282BA:sub_40C0D0		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
15	0x00428310	10	yes					0x0042CCDB:sub_42E430		no_ip_mutation_reached	CFG over-approximation; conditional feasibility and semantics require assembly audit
16	0x00428318	47	yes		0x004289AB:fixed_add:add word ptr [ebp+0], 8	8		0x00428322:sub_40C0D0|0x00428388:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
17	0x004283AC	50	yes		0x00428447:fixed_add:add word ptr [ebp+0], 8	8		0x004283B6:sub_40C0D0|0x0042841D:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
18	0x0042845A	27	yes		0x0042847E:fixed_add:add word ptr [ebp+0], 4	4		0x00428464:sub_40C0D0|0x0042846E:sub_42D920		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
19	0x004284C2	32	yes		0x00427E84:fixed_add:add word ptr [ebp+0], 2	2		0x004284EC:sub_42D920		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
20	0x0042ADB7	195	yes		0x0042B05B:dynamic_add:add [ebp+0], dx		0x0042B05B	0x0042ADF0:sub_40C0D0|0x0042AE0C:nullsub_1|0x0042AEF0:sub_42DAF0|0x0042AF60:sub_42DAF0|0x0042AFC5:sub_40C0D0|0x0042AFF1:sub_42E280		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
21	0x00428533	29	yes		0x00428569:fixed_add:add word ptr [ebp+0], 8	8		0x0042853A:sub_40DC50|0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
22	0x00428533	29	yes		0x00428569:fixed_add:add word ptr [ebp+0], 8	8		0x0042853A:sub_40DC50|0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
23	0x0042857F	40	yes		0x004285DB:dynamic_add:add [ebp+0], ax		0x004285DB	0x0042CCDB:sub_42E430		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
24	0x004285ED	40	yes		0x00428649:dynamic_add:add [ebp+0], ax		0x00428649	0x0042CCDB:sub_42E430		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
25	0x0042865B	22	yes		0x004286AC:fixed_add:add word ptr [ebp+0], 4	4		0x00428662:sub_40DC80|0x0042869A:edi|0x004286A3:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
26	0x00428679	21	yes		0x004286AC:fixed_add:add word ptr [ebp+0], 4	4		0x00428680:sub_40DCB0|0x0042869A:edi|0x004286A3:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
27	0x004286C5	27	yes		0x004286FA:fixed_add:add word ptr [ebp+0], 0Eh	14		0x004286F1:sub_42E790		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
28	0x00428713	144	yes		0x0042BEF0:fixed_add:add word ptr [ebp+0], 6	6		0x0042871D:sub_40C0D0|0x0042874C:sub_4885A0|0x004287FB:sub_40AE20|0x00428881:sub_411530|0x0042889E:sub_40DD40|0x00428902:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
29	0x0042B074	42	yes		0x0042B1E4:dynamic_add:add [ebp+0], ax		0x0042B1E4	0x0042B0A2:nullsub_1		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
30	0x0042B074	42	yes		0x0042B1E4:dynamic_add:add [ebp+0], ax		0x0042B1E4	0x0042B0A2:nullsub_1		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
31	0x0042B074	47	yes		0x0042B1E4:dynamic_add:add [ebp+0], ax		0x0042B1E4	0x0042B0A2:nullsub_1		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
32	0x0042B074	54	yes		0x0042B1E4:dynamic_add:add [ebp+0], ax		0x0042B1E4	0x0042B0A2:nullsub_1|0x0042B1AB:sub_42E430		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
33	0x0042B074	53	yes		0x0042B1E4:dynamic_add:add [ebp+0], ax		0x0042B1E4	0x0042B0A2:nullsub_1|0x0042B1AB:sub_42E430		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
34	0x0042890F	12	yes		0x0042D185:fixed_add:add word ptr [ebp+0], 4	4				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
35	0x00428934	20	yes		0x004289AB:fixed_add:add word ptr [ebp+0], 8	8		0x00428956:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
36	0x0042896C	20	yes		0x004289AB:fixed_add:add word ptr [ebp+0], 8	8		0x00428994:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
37	0x004289BE	7	yes		0x004289CB:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
38	0x004289DE	72	yes		0x0042D185:fixed_add:add word ptr [ebp+0], 4	4		0x004289F7:sub_40C0D0|0x00428A2D:sub_40AE20|0x00428A45:sub_40C020|0x00428A74:sub_40DD40|0x00428ACB:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
39	0x00428ADC	54	yes		0x0042D185:fixed_add:add word ptr [ebp+0], 4	4		0x00428AF5:sub_40C0D0|0x00428B27:sub_40AE20|0x00428B8F:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
40	0x00428BA0	69	yes		0x00428C2F:fixed_add:add word ptr [ebp+0], 8|0x00428C89:fixed_add:add word ptr [ebp+0], 8	8		0x00428BAA:sub_40C0D0|0x00428BDD:sub_42DAF0|0x00428BE7:sub_42D920|0x00428C7D:sub_40D460		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
41	0x00428C9F	33	yes					0x00428CDA:nullsub_1|0x00428CF2:sub_42E430		no_ip_mutation_reached	CFG over-approximation; conditional feasibility and semantics require assembly audit
42	0x00428D18	44	yes		0x0042D1ED:fixed_add:add word ptr [ebp+0], 2	2		0x00428D52:sub_4321E0|0x00428D99:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
43	0x00428D18	44	yes		0x0042D1ED:fixed_add:add word ptr [ebp+0], 2	2		0x00428D52:sub_4321E0|0x00428D99:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
44	0x00428DB8	44	yes		0x00428E3C:fixed_add:add word ptr [ebp+0], 6	6		0x00428DD1:sub_40C0D0|0x00428DFA:sub_4321E0|0x00428E30:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
45	0x00428E52	89	yes		0x00428E3C:fixed_add:add word ptr [ebp+0], 6	6		0x00428E6B:sub_40C0D0|0x00428E9A:nullsub_1|0x00428ECC:sub_42E740|0x00428ED9:sub_4321E0|0x00428F0F:nullsub_1|0x00428F6E:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
46	0x00428F7B	72	yes		0x00429050:fixed_add:add word ptr [ebp+0], 4	4		0x00428F85:sub_40C0D0|0x00428FBA:sub_40DC00|0x0042900E:sub_4321E0|0x00429044:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
47	0x00428F7B	72	yes		0x00429050:fixed_add:add word ptr [ebp+0], 4	4		0x00428F85:sub_40C0D0|0x00428FBA:sub_40DC00|0x0042900E:sub_4321E0|0x00429044:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
48	0x00428F7B	72	yes		0x00429050:fixed_add:add word ptr [ebp+0], 4	4		0x00428F85:sub_40C0D0|0x00428FBA:sub_40DC00|0x0042900E:sub_4321E0|0x00429044:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
49	0x00428F7B	72	yes		0x00429050:fixed_add:add word ptr [ebp+0], 4	4		0x00428F85:sub_40C0D0|0x00428FBA:sub_40DC00|0x0042900E:sub_4321E0|0x00429044:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
50	0x00429066	205	yes		0x0042934F:dynamic_add:add [ebp+0], ax		0x0042934F	0x00429081:nullsub_1|0x004290C1:sub_40C0D0|0x0042910D:sub_40D160|0x004291EC:nullsub_1|0x00429227:nullsub_1|0x00429336:nullsub_1		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
51	0x00429362	17	yes		0x00429396:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
52	0x004293AC	56	yes		0x0042948A:fixed_add:add word ptr [ebp+0], 10h	16		0x00429430:__ftol|0x0042944D:__ftol|0x0042946A:__ftol		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
53	0x0042949D	8	yes		0x004294AA:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
54	0x004294C0	91	yes		0x00428E3C:fixed_add:add word ptr [ebp+0], 6	6		0x004294D9:sub_40C0D0|0x0042950E:sub_4321E0|0x00429550:nullsub_1|0x00429585:sub_4321E0|0x004295C7:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
55	0x004295F3	48	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4		0x0042960C:sub_40C0D0|0x0042966E:sub_411530		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
56	0x004295F3	48	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4		0x0042960C:sub_40C0D0|0x0042966E:sub_411530		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
57	0x004295F3	48	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4		0x0042960C:sub_40C0D0|0x0042966E:sub_411530		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
58	0x0042B1F1	39	yes		0x0042B279:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042B1F6:_malloc|0x0042B20C:sub_40DC00		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
59	0x0042967B	12	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4		0x00429686:sub_485610		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
60	0x00429693	22	yes		0x004296D0:fixed_add:add word ptr [ebp+0], 2|0x0042D1C7:fixed_add:add word ptr [ebp+0], 2	2				multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
61	0x00429693	22	yes		0x004296D0:fixed_add:add word ptr [ebp+0], 2|0x0042D1C7:fixed_add:add word ptr [ebp+0], 2	2				multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
62	0x004296DE	234	yes		0x004299CD:fixed_add:add word ptr [ebp+0], 12h	18		0x004296FF:sub_40C0D0|0x00429739:sub_40DD40|0x00429786:sub_40AE20|0x00429853:sub_40D460|0x00429874:nullsub_1|0x0042988E:edi|0x00429897:nullsub_1|0x004298C8:_malloc|0x004298E8:sub_40D560|0x004298EE:sub_40F280|0x00429950:sub_411490|0x004299BE:sub_4885A0|0x004299F6:sub_411530|0x00429A0E:sub_411490		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
63	0x00429A1B	49	yes		0x00429AC5:dynamic_add:add [ebp+0], ax		0x00429AC5	0x00429A4B:nullsub_1		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
64	0x00429AD2	10	yes		0x0042D1ED:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
65	0x00429AE8	18	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4		0x00429AF2:sub_40C0D0|0x00429B07:sub_40D610		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
66	0x00429B14	28	yes		0x00429B54:fixed_add:add word ptr [ebp+0], 10h	16		0x00429B45:sub_40D790		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
67	0x00429B62	25	yes		0x0042D185:fixed_add:add word ptr [ebp+0], 4	4				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
68	0x00429BB5	38	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4		0x00429BCE:sub_40C0D0|0x00429C2A:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
69	0x00429C37	38	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4		0x00429C50:sub_40C0D0|0x00429CAF:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
70	0x00429066	205	yes		0x0042934F:dynamic_add:add [ebp+0], ax		0x0042934F	0x00429081:nullsub_1|0x004290C1:sub_40C0D0|0x0042910D:sub_40D160|0x004291EC:nullsub_1|0x00429227:nullsub_1|0x00429336:nullsub_1		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
71	0x00429CBC	26	yes		0x00429D05:fixed_add:add word ptr [ebp+0], 6|0x0042BEF0:fixed_add:add word ptr [ebp+0], 6	6		0x00429CC6:sub_40C0D0		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
72	0x00429D0F	18	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4		0x00429D19:sub_40C0D0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
73	0x00429066	205	yes		0x0042934F:dynamic_add:add [ebp+0], ax		0x0042934F	0x00429081:nullsub_1|0x004290C1:sub_40C0D0|0x0042910D:sub_40D160|0x004291EC:nullsub_1|0x00429227:nullsub_1|0x00429336:nullsub_1		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
74	0x00429D43	10	yes		0x00427E84:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
75	0x00429D70	15	yes		0x00429D8D:fixed_add:add word ptr [ebp+0], 4	4		0x00429D7A:sub_40C0D0|0x00429D84:sub_42E5A0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
76	0x00429DA6	131	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x00429DBF:sub_40C0D0|0x00429E01:nullsub_1|0x00429E17:sub_40C0D0|0x00429E59:nullsub_1|0x00429EC0:sub_411E20|0x00429EC6:sub_411F00|0x00429F0A:sub_4321E0|0x00429F4C:nullsub_1|0x00429F59:sub_42E5A0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
77	0x00429F7B	79	yes		0x0042A094:dynamic_add:add [ebp+0], ax		0x0042A094	0x00429F94:sub_40C0D0|0x0042A00C:sub_4321E0|0x0042A04E:nullsub_1|0x0042A069:edi|0x0042A079:sub_40C060|0x0042A082:sub_40AF70		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
78	0x00429F7B	79	yes		0x0042A094:dynamic_add:add [ebp+0], ax		0x0042A094	0x00429F94:sub_40C0D0|0x0042A00C:sub_4321E0|0x0042A04E:nullsub_1|0x0042A069:edi|0x0042A079:sub_40C060|0x0042A082:sub_40AF70		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
79	0x0042A0A6	83	yes		0x0042A1E1:fixed_add:add word ptr [ebp+0], 10h	16		0x0042A0AB:_malloc|0x0042A0BE:sub_40DC00		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
80	0x0042A1EF	9	yes		0x00427E84:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
81	0x0042A200	45	yes		0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042A205:_malloc|0x0042A218:sub_40DC00		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
82	0x0042A2C6	33	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
83	0x0042A341	151	yes		0x0042A1E1:fixed_add:add word ptr [ebp+0], 10h	16		0x0042A366:nullsub_1|0x0042A3AB:sub_4885A0|0x0042A3B4:sub_4885A0|0x0042A3BA:sub_4885A0|0x0042A3D7:_malloc|0x0042A47B:_malloc|0x0042A48C:_malloc|0x0042A51D:sub_4885A0|0x0042A53F:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
84	0x0042A54C	60	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042A571:nullsub_1|0x0042A5DD:sub_4885A0|0x0042A5E6:sub_4885A0|0x0042A5EC:sub_4885A0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
85	0x0042A611	30	yes					0x0042A63E:sub_437DF0|0x0042A658:dword ptr [ecx+14h]|0x0042A65B:_AIL_serve@0|0x0042A666:sub_484730		no_ip_mutation_reached	CFG over-approximation; conditional feasibility and semantics require assembly audit
86	0x0042A673	32	yes		0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	10				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
87	0x0042A6CB	25	yes					0x0042A6F4:sub_439070|0x0042A70B:sub_42E430		no_ip_mutation_reached	CFG over-approximation; conditional feasibility and semantics require assembly audit
88	0x0042A727	10	yes		0x0042A748:fixed_add:add word ptr [ebp+0], 4	4		0x0042A727:sub_40F500|0x0042A72C:sub_40F570		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
89	0x00427B8F	189	yes		0x00427E26:absolute_write:mov [ebp+0], cx		0x00427E26	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
90	0x00427B8F	189	yes		0x00427E26:absolute_write:mov [ebp+0], cx		0x00427E26	0x00427BBD:sub_40C0D0|0x00427BD4:_malloc|0x00427C08:ds:wsprintfA|0x00427C15:nullsub_1|0x00427D60:_AIL_serve@0|0x00427D86:sub_40AFF0|0x00427DF3:sub_40BB20		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
91	0x0042B287	79	yes		0x0042B32C:fixed_add:add word ptr [ebp+0], 4|0x0042D185:fixed_add:add word ptr [ebp+0], 4	4		0x0042B2FB:sub_40BAA0|0x0042B311:sub_40BAA0|0x0042B359:edi|0x0042B365:nullsub_1|0x0042B393:edi|0x0042B39F:nullsub_1		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
92	0x0042A756	23	yes		0x0042D185:fixed_add:add word ptr [ebp+0], 4	4		0x0042A771:nullsub_1|0x0042A781:sub_40DC80		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
93	0x0042A792	23	yes		0x0042D185:fixed_add:add word ptr [ebp+0], 4	4		0x0042A7AD:nullsub_1|0x0042A7BD:sub_40DCB0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
94	0x0042A7CE	7	yes		0x0042A7E4:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
95	0x0042A7EE	7	yes		0x0042A804:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
96	0x0042A80E	365	yes	0x0042D4D6	0x0042A856:fixed_add:add word ptr [ebp+0], 2|0x0042A87F:fixed_add:inc word ptr [ebp+0]|0x0042A89C:fixed_add:inc word ptr [ebp+0]|0x0042A8BA:fixed_add:inc word ptr [ebp+0]|0x0042A8D7:fixed_add:add word ptr [ecx+20h], 2	1,2		0x0042A815:sub_40DD30|0x0042A81C:sub_40DD20|0x0042A826:_malloc|0x0042A832:_malloc|0x0042A8F0:sub_411F90|0x0042A8FE:ds:lstrcpyA|0x0042A910:esi|0x0042A918:esi|0x0042A91A:_AIL_serve@0|0x0042A921:??2@YAPAXI@Z|0x0042A93B:sub_438000|0x0042A960:sub_4380B0|0x0042A96C:sub_438150|0x0042A973:sub_438030|0x0042A979:??3@YAXPAX@Z|0x0042A987:ds:lstrcpyA|0x0042A993:ds:lstrcatA|0x0042A99B:sub_438150|0x0042A9A2:sub_438030|0x0042A9A8:??3@YAXPAX@Z|0x0042A9BB:sub_4118B0|0x0042A9D2:ds:lstrcpyA|0x0042A9DE:ds:lstrcatA|0x0042A9EC:ds:lstrcatA|0x0042A9F8:sub_411F90|0x0042AA00:_AIL_serve@0|0x0042AA12:sub_4380B0|0x0042AA26:nullsub_1|0x0042AA50:sub_4885A0|0x0042AA61:_AIL_serve@0|0x0042AA7A:sub_438380|0x0042AA8A:sub_438640|0x0042AA95:sub_411F90|0x0042AAA2:ds:Sleep|0x0042AB12:_malloc|0x0042AB21:_malloc|0x0042AB4D:sub_4885A0|0x0042AB59:sub_4885A0|0x0042AB8E:_AIL_serve@0|0x0042AB98:_malloc|0x0042ABB7:sub_4384C0|0x0042ABCC:sub_438380|0x0042AC0D:_AIL_serve@0|0x0042AC17:_malloc|0x0042AC29:sub_4384C0|0x0042AC39:sub_438380|0x0042AC43:_malloc|0x0042ACAA:sub_4238B0|0x0042ACB0:sub_4885A0|0x0042ACC5:sub_4158C0|0x0042ACED:sub_437DF0|0x0042AD00:dword ptr [ecx+14h]|0x0042AD1D:sub_4885A0|0x0042AD27:sub_4885A0		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
97	0x0042AD3C	15	yes		0x0042AD49:fixed_add:add word ptr [ebp+0], 2	2		0x0042AD61:sub_40DD30|0x0042AD68:sub_40DD20		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
