effective_opcode	entry_target	encoding_class	sequential_length_rule	normal_fixed_length	operand_shape	control_effect	assembly_evidence	confidence	caveat
10	0x00427ED0	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00427F9C:fixed_add:add word ptr [ebp+0], 6|0x00428109:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
11	0x00427FEB	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004280B5:fixed_add:add word ptr [ebp+0], 6|0x00428109:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
12	0x0042811F	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042815A:fixed_add:add word ptr [ebp+0], 8|0x004281EE:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
13	0x0042822A	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
14	0x0042829C	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004282DF:fixed_add:add word ptr [ebp+0], 4|0x004282FF:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
15	0x00428310	absolute_stream_transfer_u32	control_transfer; physical footprint 6	6	u32 target_relative at +2	sub_42E430_same_file_target_ip_zero	0x00428310-0x00428313;0x0042E430-0x0042E47B	assembly_confirmed	no sequential advance
16	0x00428318	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004289AB:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
17	0x004283AC	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00428447:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
18	0x0042845A	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042847E:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
19	0x004284C2	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00427E84:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
20	0x0042ADB7	counted_records_6byte	4 + 6*u14_count		u16 count/flags at +2; handler reads count records at 6-byte stride	wait_until_ready_then_sequential	0x0042ADB7-0x0042B06E	assembly_confirmed	first pass sets operand bit 14 and yields; ready pass clears flags and advances with the opcode-20 6-byte stride selected at 0x0042B030
21	0x00428533	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00428569:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
22	0x00428533	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00428569:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
23	0x0042857F	u16_list_ff00_then_u32_target	8 + 2*item_count		u16 items at +2; u16 FF00; u32 branch target	conditional_transfer_or_sequential	0x0042857F-0x004285E8	assembly_confirmed	item scan has no bounds check
24	0x004285ED	u16_list_ff00_then_u32_target	8 + 2*item_count		u16 items at +2; u16 FF00; u32 branch target	conditional_transfer_or_sequential	0x004285ED-0x00428656	assembly_confirmed	item scan has no bounds check
25	0x0042865B	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004286AC:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
26	0x00428679	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004286AC:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
27	0x004286C5	fixed_raw_operands	14	14	12 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004286FA:fixed_add:add word ptr [ebp+0], 0Eh	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
28	0x00428713	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042BEF0:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
29	0x0042B074	fixed_shared_numeric	6	6	s16 index; s16 value	sequential	0x0042B074-0x0042B1EC	assembly_confirmed	shared handler refines by opcode
30	0x0042B074	fixed_shared_numeric	6	6	s16 index; s16 value	sequential	0x0042B074-0x0042B1EC	assembly_confirmed	shared handler refines by opcode
31	0x0042B074	fixed_shared_numeric	6	6	s16 index; s16 value	sequential	0x0042B074-0x0042B1EC	assembly_confirmed	shared handler refines by opcode
32	0x0042B074	fixed_shared_numeric	10	10	s16 index; s16 value; u32 branch target	conditional_transfer_or_sequential	0x0042B074-0x0042B1EC	assembly_confirmed	shared handler refines by opcode
33	0x0042B074	fixed_shared_numeric	10	10	s16 index; s16 value; u32 branch target	conditional_transfer_or_sequential	0x0042B074-0x0042B1EC	assembly_confirmed	shared handler refines by opcode
34	0x0042890F	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
35	0x00428934	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004289AB:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
36	0x0042896C	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004289AB:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
37	0x004289BE	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004289CB:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
38	0x004289DE	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
39	0x00428ADC	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
40	0x00428BA0	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00428C2F:fixed_add:add word ptr [ebp+0], 8|0x00428C89:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
41	0x00428C9F	dword_target_list_ff00ff00	control_transfer; footprint 6 + 4*target_count		u32 targets at +2 followed by u32 FF00FF00	indexed_sub_42E430_transfer	0x00428C9F-0x00428D13	assembly_confirmed	global index selects one target; no sequential advance
42	0x00428D18	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D1ED:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
43	0x00428D18	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D1ED:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
44	0x00428DB8	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00428E3C:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
45	0x00428E52	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00428E3C:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
46	0x00428F7B	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429050:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
47	0x00428F7B	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429050:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
48	0x00428F7B	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429050:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
49	0x00428F7B	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429050:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
50	0x00429066	fixed_opcode_refined	10	10	four u16 operands	sequential_after_setup	0x00429066-0x0042935D	assembly_confirmed	shared entry computes length from opcode-specific constant 3
51	0x00429362	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429396:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
52	0x004293AC	fixed_raw_operands	16	16	14 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042948A:fixed_add:add word ptr [ebp+0], 10h	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
53	0x0042949D	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004294AA:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
54	0x004294C0	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00428E3C:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
55	0x004295F3	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
56	0x004295F3	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
57	0x004295F3	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
58	0x0042B1F1	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B279:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
59	0x0042967B	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
60	0x00429693	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004296D0:fixed_add:add word ptr [ebp+0], 2|0x0042D1C7:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
61	0x00429693	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004296D0:fixed_add:add word ptr [ebp+0], 2|0x0042D1C7:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
62	0x004296DE	fixed_raw_operands	18	18	16 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004299CD:fixed_add:add word ptr [ebp+0], 12h	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
63	0x00429A1B	u16_prefix_list_ff00	6 + 2*item_count		u16 prefix at +2; u16 items at +4; u16 FF00	sequential	0x00429A1B-0x00429ACD	assembly_confirmed	list is copied into a fixed global array; separate overflow behavior pending
64	0x00429AD2	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D1ED:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
65	0x00429AE8	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
66	0x00429B14	fixed_raw_operands	16	16	14 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429B54:fixed_add:add word ptr [ebp+0], 10h	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
67	0x00429B62	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
68	0x00429BB5	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
69	0x00429C37	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
70	0x00429066	fixed_opcode_refined	10	10	four u16 operands	sequential_after_setup	0x00429066-0x0042935D	assembly_confirmed	shared entry computes length from opcode-specific constant 3
71	0x00429CBC	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429D05:fixed_add:add word ptr [ebp+0], 6|0x0042BEF0:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
72	0x00429D0F	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
73	0x00429066	fixed_opcode_refined	8	8	three u16 operands	sequential_after_setup	0x00429066-0x0042935D	assembly_confirmed	shared entry computes length from opcode-specific constant 2
74	0x00429D43	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00427E84:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
75	0x00429D70	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429D8D:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
76	0x00429DA6	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
77	0x00429F7B	fixed_with_stale_failure_advance	6 on successful role lookup	6	u16 role/context; u16 value	sequential	0x00429F7B-0x0042A0A1	assembly_confirmed	failed lookup reaches advance through uninitialized stack var_40; preserve as abnormal bug
78	0x00429F7B	fixed_with_stale_failure_advance	4 on successful role lookup	4	u16 role/context	sequential	0x00429F7B-0x0042A0A1	assembly_confirmed	failed lookup reaches advance through uninitialized stack var_40; preserve as abnormal bug
79	0x0042A0A6	fixed_raw_operands	16	16	14 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042A1E1:fixed_add:add word ptr [ebp+0], 10h	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
80	0x0042A1EF	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00427E84:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
81	0x0042A200	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
82	0x0042A2C6	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
83	0x0042A341	fixed_raw_operands	16	16	14 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042A1E1:fixed_add:add word ptr [ebp+0], 10h	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
84	0x0042A54C	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
85	0x0042A611	byte_string_percent_q_external	4 + byte_count_before_0x5125		byte string begins at +2; terminating bytes 25 51 are consumed	sub_484730_advances_caller_ip_and_pointer	0x0042A611-0x0042A66E;0x0048480C-0x00484850	assembly_confirmed	video filename extension may be rewritten after parsing
86	0x0042A673	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
87	0x0042A6CB	dword_target_list_ff00ff00	control_transfer; footprint 6 + 4*target_count		u32 targets at +2 followed by u32 FF00FF00	random_sub_42E430_transfer	0x0042A6CB-0x0042A722	assembly_confirmed	random index selects one target; no sequential advance
88	0x0042A727	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042A748:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
89	0x00427B8F	byte_string_percent_q	4 + byte_count_before_0x5125		byte string begins at +2; terminating bytes 25 51 are consumed	sequential_after_delimiter	0x00427DFF-0x00427E2A;0x00484814-0x00484850;0x0042BD51-0x0042BD92	assembly_confirmed	no bounds check; odd byte lengths are accepted
90	0x00427B8F	byte_string_percent_q	4 + byte_count_before_0x5125		byte string begins at +2; terminating bytes 25 51 are consumed	sequential_after_delimiter	0x00427DFF-0x00427E2A;0x00484814-0x00484850;0x0042BD51-0x0042BD92	assembly_confirmed	no bounds check; odd byte lengths are accepted
91	0x0042B287	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B32C:fixed_add:add word ptr [ebp+0], 4|0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
92	0x0042A756	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
93	0x0042A792	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
94	0x0042A7CE	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042A7E4:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
95	0x0042A7EE	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042A804:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
96	0x0042A80E	byte_string_percent_q_with_prefix_flags	4 + byte_count_before_0x5125		byte string at +2; optional leading 25/2A set flags; terminating 25 51 consumed	sequential_then_open_custom_ani	0x0042A80E-0x0042AD37	assembly_confirmed	scan is byte-wise and unbounded; copied staging area is only 0x400 bytes
97	0x0042AD3C	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042AD49:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
98	0x0042C7EA	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
99	0x0042AD75	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
100	0x0042B3B0	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B42D:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
101	0x0042B43B	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
102	0x0042C567	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
103	0x0042C567	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
104	0x0042B47E	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B4A8:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
105	0x0042B4B9	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00427E84:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
106	0x0042B4CA	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B4F9:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
107	0x0042B50F	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B57F:fixed_add:add word ptr [ebp+0], 6|0x0042B5A5:fixed_add:add word ptr [ebp+0], 6|0x0042B5D9:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
108	0x0042B5F2	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B626:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
109	0x0042B63C	counted_u16_list	4 + 2*u16_count		u16 count; count u16 ids	sequential	0x0042B63C-0x0042B6A0	assembly_confirmed	zero count is accepted
110	0x0042B6A5	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B6FB:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
111	0x0042B6A5	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B6FB:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
112	0x0042B70C	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D1C7:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
113	0x0042B723	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042BEF0:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
114	0x0042B739	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B7D7:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
