audit_order	entry_target	explicit_opcode_count	effective_opcodes	shared_entry	dispatch_kinds	internal_refinement	encoding_classes_navigation	control_effects_navigation	manual_semantics_rows	manual_semantics_opcodes	modern_case_presence	modern_case_opcodes	asset_observed_rows	asset_observed_opcodes	candidate_port_modules_navigation	direct_call_targets_navigation	unresolved_edges_navigation	closure_status	closure_evidence	closure_proof	closure_rule
14	0x0042845A	1	18	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	18	all	18	1/1	18	story_scene,world_map	sub_40C0D0|sub_42D920		platform_adapted	story-vm-role-path-release-0042845a.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
15	0x004284C2	1	19	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	19	all	19	1/1	19	story_scene	sub_42D920		platform_adapted	story-vm-role-path-release-all-004284c2.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
16	0x0042ADB7	2	20,169	yes	main_table,secondary_table		counted_records_12byte,counted_records_6byte	wait_until_ready_then_sequential	2/2	20,169	all	20,169	2/2	20,169	runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_42DAF0|sub_42E280		platform_adapted	story-vm-role-path-schedule-0042adb7.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
17	0x00428533	2	21-22	yes	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	2/2	21-22	all	21-22	2/2	21-22	story_scene	sub_40DC50|sub_42E430		platform_adapted	story-vm-global-bit-conditional-jump-00428533.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
18	0x0042857F	1	23	no	main_table		u16_list_ff00_then_u32_target	conditional_transfer_or_sequential	1/1	23	all	23	1/1	23	story_scene	sub_42E430		platform_adapted	story-vm-all-global-bits-conditional-jump-0042857f.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
19	0x004285ED	1	24	no	main_table		u16_list_ff00_then_u32_target	conditional_transfer_or_sequential	1/1	24	all	24	0/1		story_scene	sub_42E430		platform_adapted	story-vm-any-global-bit-conditional-jump-004285ed.md	assembly_exact;unit_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
20	0x0042865B	1	25	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	25	all	25	1/1	25	runtime_platform,story_scene	edi|nullsub_1|sub_40DC80		platform_adapted	story-vm-global-bit-set-0042865b.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
21	0x00428679	1	26	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	26	all	26	1/1	26	runtime_platform,story_scene	edi|nullsub_1|sub_40DCB0		platform_adapted	story-vm-global-bit-clear-00428679.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
22	0x004286C5	1	27	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	27	all	27	1/1	27	story_scene	sub_42E790		platform_adapted	story-vm-world-session-reload-004286c5.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;external_dependency_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
23	0x00428713	1	28	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	28	all	28	1/1	28	resource_io,story_scene,world_map	sub_40AE20|sub_40C0D0|sub_40D460|sub_40DD40|sub_411530|sub_4885A0		platform_adapted	story-vm-role-path-id-change-00428713.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
24	0x0042B074	5	29-33	yes	main_table	shared_numeric_operation_refinement	fixed_shared_numeric	conditional_transfer_or_sequential|sequential	5/5	29-33	all	29-33	4/5	29-30,32-33	runtime_platform,story_scene	nullsub_1|sub_42E430		platform_adapted	story-vm-global-integers-0042b074.md	assembly_exact;unit_tested;real_asset_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
25	0x0042890F	1	34	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	34	all	34	0/1		story_scene			assembly_exact	story-vm-script-clock-set-0042890f.md	assembly_exact;unit_tested;asset_absence_verified;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
26	0x00428934	1	35	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	35	all	35	0/1		story_scene	sub_42E430		platform_adapted	story-vm-script-clock-byte-jump-00428934.md	assembly_exact;unit_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
27	0x0042896C	1	36	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	36	all	36	0/1		story_scene	sub_42E430		platform_adapted	story-vm-script-clock-origin-delta-jump-0042896c.md	assembly_exact;unit_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
28	0x004289BE	1	37	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	37	all	37	0/1		story_scene			assembly_exact	story-vm-script-clock-snapshot-004289be.md	assembly_exact;unit_tested;asset_absence_verified;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
29	0x004289DE	1	38	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	38	all	38	1/1	38	story_scene,world_map	sub_40AE20|sub_40C020|sub_40C0D0|sub_40D460|sub_40DD40		platform_adapted	story-vm-role-scene-clear-004289de.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
30	0x00428ADC	1	39	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	39	all	39	1/1	39	story_scene,world_map	sub_40AE20|sub_40C0D0|sub_40D460		platform_adapted	story-vm-role-flag-8000-00428adc.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
31	0x00428BA0	1	40	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	40	all	40	1/1	40	story_scene,world_map	sub_40C0D0|sub_40D460|sub_42D920|sub_42DAF0		platform_adapted	story-vm-role-relocation-completion-00428ba0.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
32	0x00428C9F	1	41	no	main_table		dword_target_list_ff00ff00	indexed_sub_42E430_transfer	1/1	41	all	41	1/1	41	runtime_platform,story_scene	nullsub_1|sub_42E430		platform_adapted	story-vm-indexed-target-reload-00428c9f.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
33	0x00428D18	2	42-43	yes	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	2/2	42-43	all	42-43	2/2	42-43	asset_runtime,runtime_platform,story_scene	nullsub_1|sub_4321E0		platform_adapted	story-vm-interaction-lock-00428d18.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
34	0x00428DB8	1	44	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	44	all	44	1/1	44	asset_runtime,runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_4321E0		platform_adapted	story-vm-role-action-wait-override-00428db8.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
35	0x00428E52	1	45	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	45	all	45	1/1	45	asset_runtime,runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_40D460|sub_42E740|sub_4321E0		platform_adapted	story-vm-role-action-id-00428e52.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
36	0x00428F7B	4	46-49	yes	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	4/4	46-49	all	46-49	0/4		asset_runtime,runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_40DC00|sub_4321E0		platform_adapted	story-vm-role-action-override-restore-00428f7b.md	assembly_exact;unit_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
37	0x00429066	3	50,70,73	yes	main_table		fixed_opcode_refined	sequential_after_setup	3/3	50,70,73	all	50,70,73	3/3	50,70,73	runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_40D160		platform_adapted	story-vm-camera-move-00429066.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
38	0x00429362	1	51	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	51	all	51	1/1	51	story_scene			platform_adapted	story-vm-camera-wait-00429362.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
39	0x004293AC	1	52	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	52	all	52	1/1	52	battle,story_scene	__ftol		platform_adapted	story-vm-frame-color-transition-004293ac.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
40	0x0042949D	1	53	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	53	all	53	1/1	53	story_scene			platform_adapted	story-vm-frame-color-wait-0042949d.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
41	0x004294C0	1	54	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	54	all	54	1/1	54	asset_runtime,runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_4321E0		platform_adapted	story-vm-role-action-repeat-refresh-004294c0.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
42	0x004295F3	3	55-57	yes	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	3/3	55-57	all	55-57	3/3	55-57	story_scene,world_map	sub_40C0D0|sub_411530		platform_adapted	story-vm-role-spatial-groups-004295f3.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
43	0x0042B1F1	2	58,153	yes	main_table,secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	2/2	58,153	all	58,153	2/2	58,153	asset_runtime,special_modes,story_scene	_malloc|sub_40DC00		platform_adapted	story-vm-picture-action-enqueue-0042b1f1.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
44	0x0042967B	1	59	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	59	all	59	1/1	59	audio_video,story_scene	sub_485610		platform_adapted	story-vm-sound-effect-0042967b.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
45	0x00429693	2	60-61	yes	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	2/2	60-61	all	60-61	2/2	60-61	story_scene			platform_adapted	story-vm-scene-render-control-00429693.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
46	0x004296DE	1	62	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	62	all	62	1/1	62	resource_io,runtime_platform,special_modes,story_scene,world_map	_malloc|edi|nullsub_1|sub_40AE20|sub_40C0D0|sub_40D460|sub_40D560|sub_40DD40|sub_40F280|sub_411490|sub_411530|sub_4885A0		platform_adapted	story-vm-map-role-write-004296de.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
47	0x00429A1B	1	63	no	main_table		u16_prefix_list_ff00	sequential	1/1	63	all	63	1/1	63	runtime_platform,story_scene	nullsub_1		platform_adapted	story-vm-selection-scroll-write-00429a1b.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
48	0x00429AD2	1	64	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	64	all	64	1/1	64	story_scene			platform_adapted	story-vm-selection-scroll-clear-00429ad2.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
49	0x00429AE8	1	65	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	65	all	65	1/1	65	story_scene,world_map	sub_40C0D0|sub_40D610		platform_adapted	story-vm-role-transfer-00429ae8.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
50	0x00429B14	1	66	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	66	all	66	1/1	66	story_scene,world_map	sub_40D790		platform_adapted	story-vm-role-map-update-00429b14.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
51	0x00429B62	1	67	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	67	all	67	1/1	67	story_scene			assembly_exact	story-vm-frame-clock-wait-00429b62.md	assembly_exact;unit_tested;real_asset_tested;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
52	0x00429BB5	1	68	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	68	all	68	1/1	68	story_scene,world_map	sub_40C0D0|sub_40D460		platform_adapted	story-vm-role-flag-0400-clear-00429bb5.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
53	0x00429C37	1	69	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	69	all	69	1/1	69	story_scene,world_map	sub_40C0D0|sub_40D460		platform_adapted	story-vm-role-flag-0400-set-00429c37.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
54	0x00429CBC	1	71	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	71	all	71	1/1	71	story_scene,world_map	sub_40C0D0		platform_adapted	story-vm-role-head-sign-00429cbc.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
55	0x00429D0F	1	72	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	72	all	72	1/1	72	story_scene,world_map	sub_40C0D0		assembly_exact	story-vm-role-head-sign-clear-00429d0f.md	assembly_exact;unit_tested;real_asset_tested;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
56	0x00429D43	1	74	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	74	all	74	1/1	74	story_scene			platform_adapted	story-vm-frame-color-cancel-00429d43.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
57	0x00429D70	1	75	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	75	all	75	1/1	75	story_scene,world_map	sub_40C0D0|sub_42E5A0		platform_adapted	story-vm-role-suspend-00429d70.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
58	0x00429DA6	1	76	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	76	all	76	1/1	76	asset_runtime,runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_411E20|sub_411F00|sub_42E5A0|sub_4321E0		platform_adapted	story-vm-role-turn-suspend-00429da6.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
59	0x00429F7B	2	77-78	yes	main_table		fixed_with_stale_failure_advance	sequential	2/2	77-78	all	77-78	2/2	77-78	asset_runtime,runtime_platform,story_scene,world_map	edi|nullsub_1|sub_40AF70|sub_40C060|sub_40C0D0|sub_4321E0		platform_adapted	story-vm-role-wait-override-00429f7b.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
60	0x0042A0A6	1	79	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	79	all	79	0/1		asset_runtime,special_modes,story_scene	_malloc|sub_40DC00		platform_adapted	story-vm-moving-action-enqueue-0042a0a6.md	assembly_exact;unit_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
61	0x0042A1EF	1	80	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	80	all	80	1/1	80	story_scene			assembly_exact	story-vm-text-control-bit29-clear-0042a1ef.md	assembly_exact;unit_tested;real_asset_tested;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
62	0x0042A200	1	81	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	81	all	81	1/1	81	asset_runtime,special_modes,story_scene	_malloc|sub_40DC00		platform_adapted	story-vm-role-head-action-enqueue-0042a200.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
63	0x0042A2C6	1	82	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	82	all	82	1/1	82	story_scene			platform_adapted	story-vm-role-head-action-dismiss-0042a2c6.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
64	0x0042A341	1	83	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	83	all	83	1/1	83	resource_io,runtime_platform,special_modes,story_scene	_malloc|nullsub_1|sub_4885A0		platform_adapted	story-vm-packed-row-effect-upsert-0042a341.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
65	0x0042A54C	1	84	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	84	all	84	1/1	84	resource_io,runtime_platform,story_scene	nullsub_1|sub_4885A0		platform_adapted	story-vm-packed-row-effect-control-0042a54c.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;stale_local_typed_stop	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
66	0x0042A611	1	85	no	main_table		byte_string_percent_q_external	sub_484730_advances_caller_ip_and_pointer	1/1	85	all	85	1/1	85	audio_video,rendering,story_scene	_AIL_serve@0|dword ptr [ecx+14h]|sub_437DF0|sub_484730		platform_adapted	story-vm-video-start-0042a611.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;external_dependency_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
67	0x0042A673	1	86	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	86	all	86	1/1	86	story_scene			platform_adapted	story-vm-role-head-action-key-rewrite-0042a673.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;staged_unsafe_order_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
68	0x0042A6CB	1	87	no	main_table		dword_target_list_ff00ff00	random_sub_42E430_transfer	1/1	87	all	87	1/1	87	input_time_rng,story_scene	sub_42E430|sub_439070		platform_adapted	story-vm-random-target-reload-0042a6cb.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;rng_sequence_tested;divide_by_zero_typed_stop	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
