audit_order	address	navigation_name	entry_family	candidate_confidence_navigation	direct_callers_navigation	direct_callees_navigation	prior_review_navigation	closure_status	closure_evidence	closure_rule
18	0x0043A470	sub_43A470	standard_modes_1_3_4_5_6	medium	0x00439FD0:1		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-input-dispatch-0043a470.md	ownership and call-graph fields are navigation only; close from full LST body
19	0x0043A610	sub_43A610	standard_modes_1_3_4_5_6	medium	0x00439FD0:1	0x0040DC50:4;0x0040EBF0:3;0x004117F0:1;0x004149B0:1;0x004153D0:1;0x00416F10:1;0x00416F60:1;0x00420490:1;0x00437DF0:1;0x0043A880:1;0x0043AAA0:2;0x0044A240:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-frame-render-0043a610.md	ownership and call-graph fields are navigation only; close from full LST body
20	0x0043A880	sub_43A880	standard_modes_1_3_4_5_6	medium	0x0043A610:1	0x0040DC50:4;0x0040EBF0:1;0x004170E0:1;0x004315D0:1;0x004321E0:1;0x0043B080:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-panel-preparation-0043a880.md	ownership and call-graph fields are navigation only; close from full LST body
21	0x0043AAA0	sub_43AAA0	standard_modes_1_3_4_5_6	medium	0x0043A610:2	0x0040ECC0:1;0x00416FF0:4;0x004239D0:1;0x00436AD0:5;0x0043B080:4;0x00477290:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-transition-blocks-0043aaa0.md	ownership and call-graph fields are navigation only; close from full LST body
22	0x0043AE40	sub_43AE40	standard_modes_1_3_4_5_6	medium	0x0043C820:1;0x0043E800:1;0x00441680:2;0x004442B0:2;0x00447100:2;0x0044C160:1;0x0044EA60:1	0x0040EBF0:4;0x00416FF0:3;0x004170E0:2;0x004315D0:2;0x004321E0:2;0x0043BAB0:1;0x0044A240:2;0x00489654:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-split-bar-0043ae40.md	ownership and call-graph fields are navigation only; close from full LST body
23	0x0043B080	sub_43B080	standard_modes_1_3_4_5_6	medium	0x0043A880:1;0x0043AAA0:4	0x004170E0:1;0x004315D0:1;0x004321E0:1;0x0044A240:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-ghost-action-0043b080.md	ownership and call-graph fields are navigation only; close from full LST body
24	0x0043B480	sub_43B480	standard_modes_1_3_4_5_6	medium	0x0043A2A0:1;0x0043E770:1;0x00441590:1;0x004441A0:1;0x00445360:1;0x004453F0:1;0x00446FE0:1;0x0044A250:1;0x0044C0E0:1	0x0040DC50:2;0x00444FC0:1;0x00448700:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-callback-binding-0043b480.md	ownership and call-graph fields are navigation only; close from full LST body
25	0x0043B980	sub_43B980	standard_modes_1_3_4_5_6	medium	0x0043BCC0:1;0x0043D530:1;0x0043E3D0:1;0x0043F000:1;0x0043F880:1;0x00441160:1;0x00442050:1;0x00444E80:1;0x00448230:1;0x0044E4A0:2		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-forward-count-0043b980.md	ownership and call-graph fields are navigation only; close from full LST body
26	0x0043B9A0	sub_43B9A0	standard_modes_1_3_4_5_6	medium	0x0040F890:2;0x0043BCC0:1;0x0043DD20:1;0x0043DDF0:1;0x0043DED0:1;0x0043DFA0:1;0x0043E3D0:1;0x0043F880:1;0x0043F940:1;0x00440B20:1;0x00440C20:1;0x00440D20:1;0x00440E10:1;0x00441060:1;0x00441160:1;0x00441680:1;0x00442A40:1;0x00443450:1;0x00443570:1;0x00443670:1;0x004437C0:2;0x00443A60:1;0x004442B0:1;0x00445C90:1;0x00445E90:1;0x00446090:1;0x00446260:1;0x00447100:1;0x0044DF00:1;0x0044DFF0:1;0x0044E0C0:1;0x0044E1B0:1;0x0044E260:1;0x0044E330:1;0x0044E4A0:1		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-forward-advance-0043b9a0.md	ownership and call-graph fields are navigation only; close from full LST body
27	0x0043B9C0	sub_43B9C0	standard_modes_1_3_4_5_6	medium	0x0043BCC0:1;0x004407F0:1;0x00440B20:1;0x00440C20:1;0x00440D20:1;0x00440E10:1;0x00440F00:1;0x00440FB0:1;0x00441160:1;0x00442E40:1;0x00442F40:1;0x00443450:1;0x00443570:1;0x00443670:1;0x004437C0:1;0x004438E0:1;0x004439A0:1;0x00443A60:1;0x00443B70:1;0x00443BD0:3;0x004442B0:1;0x00445430:1;0x004455E0:1;0x00445C90:1;0x00445E90:1;0x00446090:1;0x00446260:1;0x00446420:1;0x00446550:1;0x00446700:6;0x00447100:1;0x00448650:1;0x0044DF00:1;0x0044DFF0:1;0x0044E0C0:1;0x0044E1B0:1;0x0044E4A0:2		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-forward-index-0043b9c0.md	ownership and call-graph fields are navigation only; close from full LST body
28	0x0043B9E0	sub_43B9E0	standard_modes_1_3_4_5_6	confirmed_boundary	0x0043BCC0:1;0x00440630:1;0x004407F0:1;0x00440B20:2;0x00440C20:2;0x00440D20:2;0x00440E10:2;0x00440F00:2;0x00440FB0:2;0x00441060:1;0x00441160:2;0x00441590:1;0x00442E40:1;0x00442F40:1;0x00443450:1;0x00443570:1;0x00443670:1;0x004437C0:1;0x004438E0:1;0x004439A0:1;0x00443A60:1;0x00443B70:1;0x00445430:1;0x004455E0:1;0x00445C90:1;0x00445E90:1;0x00446090:1;0x00446260:1;0x00446420:1;0x00446550:1;0x00448650:1;0x0044DF00:1;0x0044DFF0:1;0x0044E0C0:1;0x0044E1B0:1;0x0044E4A0:2;0x004655B0:1;0x004659C0:1		manual_reviewed_current_assembly	platform_adapted	evidence/special-mode-shared-text-0043b9e0.md	ownership and call-graph fields are navigation only; close from full LST body
29	0x0043BA40	sub_43BA40	standard_modes_1_3_4_5_6	medium	0x00439FD0:1;0x0044DBC0:1		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-input-status-0043ba40.md	ownership and call-graph fields are navigation only; close from full LST body
30	0x0043BB40	sub_43BB40	standard_modes_1_3_4_5_6	medium	0x0043F880:1;0x00441060:1;0x00441160:1;0x00443A60:1		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-window-cursor-0043bb40.md	ownership and call-graph fields are navigation only; close from full LST body
31	0x0043BB80	sub_43BB80	standard_modes_1_3_4_5_6	medium	0x0043C520:1;0x0043DD20:1;0x00440B20:1;0x00443450:1;0x004439A0:1;0x00445C90:2;0x00446550:1		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-window-cursor-advance-0043bb80.md	ownership and call-graph fields are navigation only; close from full LST body
32	0x0043BBC0	sub_43BBC0	standard_modes_1_3_4_5_6	medium	0x0043C590:1;0x0043DDF0:1;0x00440C20:1;0x00443570:1;0x004438E0:1;0x00445E90:2;0x00446420:1		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-window-cursor-retreat-0043bbc0.md	ownership and call-graph fields are navigation only; close from full LST body
33	0x0043BBE0	sub_43BBE0	standard_modes_1_3_4_5_6	medium	0x0043C3C0:1;0x0043DED0:1;0x00440D20:1;0x00443670:1;0x00446090:2		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-window-page-advance-0043bbe0.md	ownership and call-graph fields are navigation only; close from full LST body
34	0x0043BC60	sub_43BC60	standard_modes_1_3_4_5_6	medium	0x0043C670:1;0x0043DFA0:1;0x00440E10:1;0x004437C0:1;0x00446260:2		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-window-page-retreat-0043bc60.md	ownership and call-graph fields are navigation only; close from full LST body
35	0x0043BC90	sub_43BC90	standard_modes_1_3_4_5_6	medium	0x0043BCC0:1;0x0043D530:1;0x0043DD20:1;0x0043DDF0:1;0x0043DED0:1;0x0043DFA0:1;0x0043E3D0:1;0x0043F000:1;0x0043F880:1;0x00440B20:1;0x00440C20:1;0x00440D20:1;0x00440E10:1;0x00441060:1;0x00441160:1;0x00443450:1;0x00443570:1;0x00443A60:1;0x00445C90:1;0x00445E90:1;0x00446090:1;0x00446260:1		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-bounded-forward-count-0043bc90.md	ownership and call-graph fields are navigation only; close from full LST body
36	0x0043BCC0	sub_43BCC0	standard_modes_1_3_4_5_6	medium	0x0043E080:1;0x0043E170:1;0x0043E3D0:1;0x00446700:4;0x00448650:1	0x0043B980:1;0x0043B9A0:1;0x0043B9C0:1;0x0043B9E0:1;0x0043BC90:1;0x0044D2D0:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-window-selection-0043bcc0.md	ownership and call-graph fields are navigation only; close from full LST body
37	0x0043BD70	sub_43BD70	standard_modes_1_3_4_5_6	medium	0x00441680:1;0x00447100:1	0x0042E850:1;0x004306C0:1;0x0043B110:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-animated-panel-0043bd70.md	ownership and call-graph fields are navigation only; close from full LST body
38	0x0043BE40	sub_43BE40	standard_modes_1_3_4_5_6	medium	0x00443BD0:1;0x00446700:1;0x0044BDA0:1		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-value-group-0043be40.md	ownership and call-graph fields are navigation only; close from full LST body
39	0x0043BE90	sub_43BE90	standard_modes_1_3_4_5_6	medium	0x00443BD0:1;0x00446700:1	0x0040DC50:1;0x00487C10:2;0x004885A0:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-filtered-records-0043be90.md	ownership and call-graph fields are navigation only; close from full LST body
40	0x0043BFC0	sub_43BFC0	standard_modes_1_3_4_5_6	medium	0x00443BD0:2;0x00446700:2	0x0042E790:1;0x00437DF0:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-dialog-setup-0043bfc0.md	ownership and call-graph fields are navigation only; close from full LST body
41	0x0043C090	sub_43C090	standard_modes_1_3_4_5_6	confirmed_boundary	0x004070A0:6;0x0043C3C0:1;0x0043DA30:1;0x004407F0:1;0x00442F40:1;0x004455E0:1;0x0044B070:1		manual_reviewed_current_assembly	platform_adapted	evidence/special-mode-availability-0043c090.md	ownership and call-graph fields are navigation only; close from full LST body
42	0x0043C0D0	sub_43C0D0	standard_modes_1_3_4_5_6	medium	0x00446700:1	0x0043C9C0:1;0x0043CEF0:1;0x00476DB0:1;0x00477800:1;0x00487C10:7;0x004885A0:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-runtime-initialization-0043c0d0.md	ownership and call-graph fields are navigation only; close from full LST body
43	0x0043C3C0	sub_43C3C0	standard_modes_1_3_4_5_6	medium	0x004455E0:1	0x0043BBE0:1;0x0043C090:1;0x0043C520:1;0x0043C590:1;0x0043C670:1;0x0043C760:1;0x0043CBD0:1;0x0043CC00:1;0x0043CEF0:1;0x00485610:2;0x004885A0:8	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-runtime-input-dispatch-0043c3c0.md	ownership and call-graph fields are navigation only; close from full LST body
44	0x0043C520	sub_43C520	standard_modes_1_3_4_5_6	medium	0x0043C3C0:1	0x0043BB80:1;0x0043CBD0:1;0x0043CC00:1;0x0043CEF0:1;0x00485610:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-runtime-cursor-advance-0043c520.md	ownership and call-graph fields are navigation only; close from full LST body
45	0x0043C590	sub_43C590	standard_modes_1_3_4_5_6	medium	0x0043C3C0:1	0x0043BBC0:1;0x0043CBD0:1;0x0043CC00:1;0x0043CEF0:1;0x00485610:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-runtime-cursor-retreat-0043c590.md	ownership and call-graph fields are navigation only; close from full LST body
46	0x0043C670	sub_43C670	standard_modes_1_3_4_5_6	medium	0x0043C3C0:1	0x0043BC60:1;0x0043CBD0:1;0x0043CC00:1;0x0043CEF0:1;0x00485610:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-runtime-page-retreat-0043c670.md	ownership and call-graph fields are navigation only; close from full LST body
47	0x0043C760	sub_43C760	standard_modes_1_3_4_5_6	medium	0x0043C3C0:1	0x0043C9C0:1;0x0043CBD0:1;0x0043CC00:1;0x0043CEF0:1;0x00485610:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-runtime-mode-advance-0043c760.md	ownership and call-graph fields are navigation only; close from full LST body
48	0x0043C820	sub_43C820	standard_modes_1_3_4_5_6	medium	0x00447100:1	0x0040EBF0:1;0x004239D0:1;0x0043AE40:1;0x0043B110:1;0x0043CC20:1;0x0043D470:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-runtime-render-0043c820.md	ownership and call-graph fields are navigation only; close from full LST body
49	0x0043C9C0	sub_43C9C0	standard_modes_1_3_4_5_6	medium	0x0043C0D0:1;0x0043C760:1;0x00446420:1	0x0043CBD0:1;0x0044A240:2;0x00476DB0:1;0x00487C10:1;0x004885A0:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-entry-initialization-0043c9c0.md	ownership and call-graph fields are navigation only; close from full LST body
50	0x0043CBD0	sub_43CBD0	standard_modes_1_3_4_5_6	medium	0x0043C3C0:1;0x0043C520:1;0x0043C590:1;0x0043C670:1;0x0043C760:1;0x0043C9C0:1;0x00446420:1		mechanical_candidate_not_manually_reviewed	assembly_exact	evidence/special-mode-page-refresh-0043cbd0.md	ownership and call-graph fields are navigation only; close from full LST body
51	0x0043CC00	sub_43CC00	standard_modes_1_3_4_5_6	medium	0x0043C3C0:1;0x0043C520:1;0x0043C590:1;0x0043C670:1;0x0043C760:1;0x00446420:1		mechanical_candidate_not_manually_reviewed	assembly_exact	evidence/special-mode-entry-alias-0043cc00.md	ownership and call-graph fields are navigation only; close from full LST body
52	0x0043CC20	sub_43CC20	standard_modes_1_3_4_5_6	medium	0x0043C820:1	0x004306C0:1;0x00436AD0:14	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-entry-render-0043cc20.md	ownership and call-graph fields are navigation only; close from full LST body
53	0x0043CEF0	sub_43CEF0	standard_modes_1_3_4_5_6	medium	0x0043C0D0:1;0x0043C3C0:1;0x0043C520:1;0x0043C590:1;0x0043C670:1;0x0043C760:1;0x00446420:1	0x0043D050:1;0x0044A240:1;0x00476DB0:1;0x004885A0:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-entry-consumption-0043cef0.md	ownership and call-graph fields are navigation only; close from full LST body
54	0x0043D050	sub_43D050	standard_modes_1_3_4_5_6	medium	0x0043CEF0:1	0x0043D370:6;0x00476DB0:3;0x00487C10:1;0x004885A0:4	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-selected-record-display-0043d050.md	ownership and call-graph fields are navigation only; close from full LST body
55	0x0043D370	sub_43D370	standard_modes_1_3_4_5_6	medium	0x0043D050:6	0x00439070:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-derived-text-0043d370.md	ownership and call-graph fields are navigation only; close from full LST body
56	0x0043D470	sub_43D470	standard_modes_1_3_4_5_6	medium	0x0043C820:1	0x00416FF0:2;0x004170E0:2;0x004315D0:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-mode-strip-0043d470.md	ownership and call-graph fields are navigation only; close from full LST body
57	0x0043D530	sub_43D530	standard_modes_1_3_4_5_6	medium		0x0043B980:1;0x0043BC90:1;0x0043F000:1;0x00476DB0:1;0x00485610:1;0x00487C10:16;0x004885A0:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-initialization-0043d530.md	ownership and call-graph fields are navigation only; close from full LST body
58	0x0043D880	sub_43D880	standard_modes_1_3_4_5_6	medium		0x0043F080:1;0x004885A0:21	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-cleanup-0043d880.md	ownership and call-graph fields are navigation only; close from full LST body
59	0x0043DA30	sub_43DA30	standard_modes_1_3_4_5_6	medium		0x0040DC50:1;0x0043C090:1;0x0043DD20:1;0x0043DDF0:2;0x0043DED0:1;0x0043DFA0:1;0x0043E080:2;0x0043E170:2;0x0043E310:2;0x0043E3D0:4;0x0043E770:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-input-dispatch-0043da30.md	ownership and call-graph fields are navigation only; close from full LST body
60	0x0043DD20	sub_43DD20	standard_modes_1_3_4_5_6	medium	0x0043DA30:1	0x0043B9A0:1;0x0043BB80:1;0x0043BC90:1;0x0043F1E0:1;0x0043F880:1;0x00485610:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-forward-advance-0043dd20.md	ownership and call-graph fields are navigation only; close from full LST body
61	0x0043DDF0	sub_43DDF0	standard_modes_1_3_4_5_6	medium	0x0043DA30:2	0x0040DC50:1;0x0043B9A0:1;0x0043BBC0:1;0x0043BC90:1;0x0043F1E0:1;0x0043F880:1;0x00485610:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-forward-retreat-0043ddf0.md	ownership and call-graph fields are navigation only; close from full LST body
62	0x0043DED0	sub_43DED0	standard_modes_1_3_4_5_6	medium	0x0043DA30:1	0x0043B9A0:1;0x0043BBE0:1;0x0043BC90:1;0x0043F1E0:1;0x0043F880:1;0x00485610:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-page-advance-0043ded0.md	ownership and call-graph fields are navigation only; close from full LST body
63	0x0043DFA0	sub_43DFA0	standard_modes_1_3_4_5_6	medium	0x0043DA30:1	0x0040DC50:1;0x0043B9A0:1;0x0043BC60:1;0x0043BC90:1;0x0043F1E0:1;0x0043F880:1;0x00485610:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-page-retreat-0043dfa0.md	ownership and call-graph fields are navigation only; close from full LST body
64	0x0043E080	sub_43E080	standard_modes_1_3_4_5_6	medium	0x0043DA30:2	0x0040DC50:1;0x0043BCC0:1;0x0043F000:1;0x0043F1E0:1;0x0043F880:1;0x00485610:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-page-cycle-0043e080.md	ownership and call-graph fields are navigation only; close from full LST body
65	0x0043E170	sub_43E170	standard_modes_1_3_4_5_6	medium	0x0043DA30:2	0x0043BCC0:1;0x0043F000:1;0x0043F1E0:1;0x0043F880:1;0x00485610:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-page-source-advance-0043e170.md	ownership and call-graph fields are navigation only; close from full LST body
66	0x0043E250	sub_43E250	standard_modes_1_3_4_5_6	medium		0x0040DC50:1;0x00485610:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-direction-cycle-0043e250.md	ownership and call-graph fields are navigation only; close from full LST body
67	0x0043E310	sub_43E310	standard_modes_1_3_4_5_6	medium	0x0043DA30:2	0x0040DC50:1;0x00485610:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-primary-direction-0043e310.md	ownership and call-graph fields are navigation only; close from full LST body
68	0x0043E3D0	sub_43E3D0	standard_modes_1_3_4_5_6	medium	0x0043DA30:4	0x0040DC50:3;0x0043B980:1;0x0043B9A0:1;0x0043BC90:1;0x0043BCC0:1;0x0043E770:1;0x0043F1E0:1;0x0043F7C0:3;0x0043FDE0:1;0x004404D0:1;0x004405C0:1;0x0044D2D0:3;0x00485610:3;0x004885A0:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-interaction-commit-0043e3d0.md	ownership and call-graph fields are navigation only; close from full LST body
69	0x0043E770	sub_43E770	standard_modes_1_3_4_5_6	medium	0x0043DA30:2;0x0043E3D0:1	0x0043B480:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-interaction-exit-0043e770.md	ownership and call-graph fields are navigation only; close from full LST body
70	0x0043E800	sub_43E800	standard_modes_1_3_4_5_6	medium		0x0040DC50:4;0x0040EBF0:5;0x004170E0:1;0x004239D0:2;0x004315D0:1;0x00436AD0:8;0x0043AE40:1;0x0043B110:1;0x0043BAB0:5;0x0043FA70:4;0x004400A0:1;0x004405C0:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-render-0043e800.md	ownership and call-graph fields are navigation only; close from full LST body
71	0x0043F000	sub_43F000	standard_modes_1_3_4_5_6	medium	0x0043D530:1;0x0043E080:1;0x0043E170:1	0x0043B980:1;0x0043BC90:1;0x0043F080:1;0x0043F0D0:1;0x0044D5D0:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-forward-refresh-0043f000.md	ownership and call-graph fields are navigation only; close from full LST body
72	0x0043F080	sub_43F080	standard_modes_1_3_4_5_6	medium	0x0043D880:1;0x0043F000:1	0x004885A0:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-forward-release-0043f080.md	ownership and call-graph fields are navigation only; close from full LST body
73	0x0043F0D0	sub_43F0D0	standard_modes_1_3_4_5_6	medium	0x0043F000:1	0x0043F7C0:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-forward-build-0043f0d0.md	ownership and call-graph fields are navigation only; close from full LST body
74	0x0043F160	sub_43F160	standard_modes_1_3_4_5_6	medium	0x0043F880:1		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-forward-sort-0043f160.md	ownership and call-graph fields are navigation only; close from full LST body
75	0x0043F1E0	sub_43F1E0	standard_modes_1_3_4_5_6	medium	0x0043DD20:1;0x0043DDF0:1;0x0043DED0:1;0x0043DFA0:1;0x0043E080:1;0x0043E170:1;0x0043E3D0:1	0x00476DB0:2;0x004885A0:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-runtime-record-refresh-0043f1e0.md	ownership and call-graph fields are navigation only; close from full LST body
76	0x0043F7C0	sub_43F7C0	standard_modes_1_3_4_5_6	medium	0x0043E3D0:3;0x0043F0D0:1;0x0043F940:1		mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-record-filter-0043f7c0.md	ownership and call-graph fields are navigation only; close from full LST body
77	0x0043F880	sub_43F880	standard_modes_1_3_4_5_6	medium	0x0043DD20:1;0x0043DDF0:1;0x0043DED0:1;0x0043DFA0:1;0x0043E080:1;0x0043E170:1	0x0043B980:1;0x0043B9A0:1;0x0043BB40:1;0x0043BC90:1;0x0043F160:1;0x0043F940:1;0x0044D5D0:1	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-database-window-refresh-0043f880.md	ownership and call-graph fields are navigation only; close from full LST body
78	0x0043F940	sub_43F940	standard_modes_1_3_4_5_6	medium	0x0043F880:1	0x0043B9A0:1;0x0043F7C0:1;0x0044D680:2;0x00487C10:1;0x004885A0:2	mechanical_candidate_not_manually_reviewed	platform_adapted	evidence/special-mode-synthesis-inline-record-refresh-0043f940.md	ownership and call-graph fields are navigation only; close from full LST body
