effective_opcode	entry_target	working_operation	operand_layout	physical_length_rule	state_reads	state_writes	flow_and_timing	error_or_quirk	helper_calls	assembly_evidence	audit_status
60	0x00429693	resume_world_scene_rendering	none	2	dword_4C9A18 scene runtime flags	clear dword_4C9A18 bit0 first while preserving all other bits; normalized delta is zero so branch directly to shared +2 tail	advance 2; ESI remains 0; common join publishes normalized previous; yield	original uses a fixed dword global; modern narrows represented frame flags to u8 and typed-stops before effects when its owner is absent	none	0x00429693-0x004296A8; shared +2 tail 0x0042D1C4-0x0042D1D0; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
61	0x00429693	clear_framebuffer_and_suspend_world_scene_rendering	none	2	dword_4C9A18 scene runtime flags; dword_4CD76C framebuffer pointer	clear scene bit0 first; clear 0x25800 dwords (0x96000 bytes) through rep stosd; reload flags and OR only low-byte bit0 with normalized delta one; preserve all other bits	advance 2; ESI remains 0; common join publishes normalized previous; yield	original framebuffer pointer has no null check so an invalid pointer faults after bit0 clear and before restoration/IP/publication; modern SDL owns a valid fixed framebuffer and the u8 flag owner typed-stops before effects when absent	rep stosd	0x00429693-0x004296D9; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
62	0x004296DE	write_map_role_source_and_materialize	+2 u16 selector (FFF0=talk source GUID); +4 u16 logical map (FFFF=current map); +6 u16 path id (FFFF=preserve); +8/+10 u16 tile X/Y (FFFF=controlled role coordinate>>4); +12/+14/+16 u16 action/base/variant (FFFF=preserve)	18	selector lookup; matching runtime role and 72 object slots; controlled role coordinates; current map; MAPS source database; surface grid; runtime role array/spatial index; four 0x10-byte particle emitters	matching runtime role: reset all matching object slots, save flags low16/Talk id, clear flags bits14/15, clear surface occupancy, set bit28; patch MAPS source with saved Talk/flags; current-map target: zero/materialize temporary 0xD8 role, update action, refresh cell flags/occupancy, spatially replace same GUID from index1 or append, then write every empty particle emitter when flags bit9 is set	advance 18; ESI=1; common join publishes normalized previous; continue in same call	old-role cleanup precedes the remaining 14-byte tail; missing MAPS GUID is diagnostic-only and still continues; action update failure is diagnostic-only; replacement unlink uses the newly materialized flags low2; particle loop intentionally fills all empty slots and preserves each head link; capacity/allocation/owner/corrupt-chain invalid domains are typed-stopped after prior effects	sub_40C0D0; sub_40DD40; sub_40AE20; sub_40D460; sub_40D560; sub_40F280/sub_4321E0; sub_411530; sub_411490; sub_4885A0	0x004296DE-0x00429A16; sub_40D460 0x0040D460-0x0040D552; sub_40D560 0x0040D560-0x0040D60F; sub_40F280 0x0040F280-0x0040F33C; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
63	0x00429A1B	set_world_selection_scroll_loop	+2 u16 frame interval; +4 raw u16 words terminated by FF00 (terminator excluded)	6 + 2*word_count	unbounded FF00 scan; current viewport top is read after paired-word copy and left after interval writes; 64-word selection table and scroll cursor/timing/snapshot owners	count<=56: fill all 64 destination words with CFCF, copy paired words, read top, copy odd tail, zero-extend prefix into frame_interval then frames_remaining, read left, write saved_top then saved_left; preserve cursor	count<=56: advance 6+2*count, ESI=1, publish previous, continue same call; count>56: no writes/owner reads/advance, ESI=0, publish previous, yield and retry	FF00 script terminator differs from CFCF destination sentinel; original scan is unbounded; capacity gate is signed <=56 although destination has 64 words; checked window/table/camera/scroll failures preserve effects only through the corresponding original access point	nullsub_1 diagnostic on count>56	0x00429A1B-0x00429ACD; scroll consumer 0x004148F0-0x004149A1; viewport restore 0x004128DF-0x00412926; common join 0x0042B0AA-0x0042B0C8	assembly_audited_platform_adapted
64	0x00429AD2	clear_world_selection_scroll_table	none	2	64-word selection table owner only	fill 32 dwords/64 words/128 bytes with CFCFCFCF; preserve cursor, frame interval, frames remaining, saved viewport and live camera	advance 2; ESI=1; common join publishes normalized previous; continue in same call	original fixed global has no owner check; modern missing-table typed-stop occurs before the first write, IP advance and previous publication; no scroll-state or camera owner is accessed	rep stosd	0x00429AD2-0x00429AE3; shared +2 tail 0x0042D1EA-0x0042D1FB; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
65	0x00429AE8	transfer_runtime_role_to_party	+2 raw u16 role selector; no FFF0 translation; shared lookup still accepts FFFE controlled role	4	role lookup; MAPS payload/database only at active-object patch point; 72 active object slots; role surface/spatial state; post role indices/count/object slot and live frame party count/object slot	missing role: no transfer owner access or writes; found role: sub_40D610 optionally aligns non-tile coordinates, clears surface/spatial/object state and ORs MAPS flags 0080, then appends role index, clears new party slot, clears Talk, clears flag4000 and sets flag0080; SDL publishes new live slot then live count	both missing and ready: advance 4, ESI=0, publish previous, yield; checked helper/live-owner failure: no advance or previous publication	does not translate FFF0; missing role silently consumes; helper original return is ignored but modern exposes exact typed status; nullable MAPS owner is checked only at actual patch point; post/live party state must be synchronized after helper success; real assets contain no FFF0/FFFE/FFFF selectors	sub_40C0D0; sub_40D610; sub_40AE20; sub_411530; sub_40D460; sub_40DD40	0x00429AE8-0x00429B0F; sub_40D610 0x0040D610-0x0040D785; shared +4 tail 0x0042C7E6-0x0042C7F6; common join 0x0042B0AE-0x0042B0C8	assembly_audited_platform_adapted
66	0x00429B14	apply_role_map_update	+2/+4/+6/+8/+10/+12/+14 seven u16 fields	16	role/map transfer bookkeeping inside sub_40D790	sub_40D790 either updates an active role and transfer arrays or updates a pending map-role record	advance 16; ESI=0; yield after operation	all operands are zero-extended before call; helper return is ignored	sub_40D790	0x00429B14-0x00429B5D;0x0040D790-0x0040D9D2	assembly_audited_business_name_neutral
67	0x00429B62	self_modifying_frame_clock_wait	+2 u16 duration/phase: low15 duration, bit15 phase marker	4	accepted-frame clock dword_4AAECC; dword_4CF6B0 duration; dword_4CF6B4 start time	phase 1 stores duration/start and sets script operand bit15; completion clears operand bit15	bit15 clear: no advance, yield; bit15 set and unsigned elapsed<=duration: no advance, yield; elapsed>duration: advance 4, ESI=1, continue	strict completion is elapsed>duration; elapsed uses u32 wrap subtraction; script operand is modified in place	none	0x00429B62-0x00429BB0;0x0042D182-0x0042D193	assembly_audited_business_name_neutral
68	0x00429BB5	clear_role_status_bit_0400	+2 u16 role selector; FFF0=current state+24	4	role lookup; role+0x10	found role: role+0x10 &= 0xFFFFFBFF; missing role: fallback sub_40D460 request	advance 4; ESI=0; yield after operation	fallback mask arguments differ from found direct write	sub_40C0D0; sub_40D460	0x00429BB5-0x00429C32;0x0042C7E6-0x0042C7F6	assembly_audited_business_name_neutral
69	0x00429C37	set_role_status_bit_0400	+2 u16 role selector; FFF0=current state+24	4	role lookup; role+0x10	found role: role+0x10 |= 0x00000400; missing role: fallback sub_40D460 request	advance 4; ESI=0; yield after operation	none	sub_40C0D0; sub_40D460	0x00429C37-0x00429CB7;0x0042C7E6-0x0042C7F6	assembly_audited_business_name_neutral
70	0x00429066	start_absolute_camera_move	+2 s16 target X tile; +4 s16 target Y tile; +6 u16 X step; +8 u16 Y step	10	existing remaining X/Y only for overwrite diagnostic; viewport signed left/top tile origin and pixel edges; u32 map width/height	read both target words before writing target-minus-arithmetic-shifted viewport origin X then Y tile displacement; common raw-step, pixel conversion, exact-divisibility fallback/sign and endpoint clamp are identical to opcode50	advance 10; publish previous; ESI=1; continue in same call	nonzero axis with zero step reaches signed hardware IDIV-by-zero after both pixel displacements/raw steps are written; target is not pre-clamped; common endpoint clamp happens after step sign and does not recompute it; checked owner/window/divide boundaries preserve prior effects	nullsub_1 diagnostics	0x00429066-0x0042935D	assembly_audited_platform_adapted
71	0x00429CBC	set_role_external_action_pointer	+2 u16 role selector; +4 u16 static action slot	6	role lookup	found role: role+0x3C = 0x004B9F68 + slot*0x98	advance 6; ESI=0; yield after operation	does not translate FFF0; slot has no range check; missing role is silently consumed	sub_40C0D0	0x00429CBC-0x00429D0A;0x0042BEED-0x0042BEF9	assembly_audited_business_name_neutral
72	0x00429D0F	clear_role_external_action_pointer	+2 u16 role selector	4	role lookup	found role: role+0x3C=0	advance 4; ESI=0; yield after operation	does not translate FFF0; missing role is silently consumed	sub_40C0D0	0x00429D0F-0x00429D3E;0x0042C7E6-0x0042C7F6	assembly_audited_business_name_neutral
73	0x00429066	start_camera_move_to_role	+2 u16 role selector; FFF0=literal GUID; FFFE=controlled index in helper; +4 u16 X step; +6 u16 Y step	8	existing remaining X/Y only for overwrite diagnostic; u16 GUID lookup with bit28 skip/first clear match; viewport; role u32 world X/Y; u32 map dimensions	copy viewport before unchecked role coordinate access; sub_40D160 centers 640x480 target on role and clamps at >= map edge; target-current wrapping differences arithmetic-shift to tile displacements; common step/pixel/clamp protocol matches opcodes50/70	advance 8; publish previous; ESI=1; continue in same call	lookup miss forms role index FFFFFFFF; no FFF0 substitution or MAPS fallback; clamp diagnostic incorrectly reads current+8 as a signed operand although physical length is 8; nonzero axis/zero step IDIV fault and checked owner/role/window boundaries preserve prior effects	sub_40C0D0; sub_40D160; nullsub_1 diagnostics	0x0040D160-0x0040D1F2;0x00429066-0x0042935D	assembly_audited_platform_adapted
74	0x00429D43	cancel_three_component_interpolation	none	2	none	dword_4A9A00=dword_4A94B8=dword_4C97F0=0; dword_4A9934=0	advance 2; ESI=1; continue in same call	current and target component values are not overwritten	none	0x00429D43-0x00429D6B;0x00427E84-0x00427E95	assembly_audited_business_name_neutral
